"","age","female","hisp","education","earnings","hours","week","union","uncov","region","race","marital"
"1",52,0,0,12,146000,45,52,0,0,1,1,1
"2",38,0,0,18,50000,45,52,0,0,1,1,1
"3",38,0,0,14,32000,40,51,0,0,1,1,1
"4",41,1,0,13,47000,40,52,0,0,1,1,1
"5",42,0,0,13,161525,50,52,1,0,1,1,1
"6",66,1,0,13,33000,40,52,0,0,1,1,5
"7",51,0,0,16,37000,44,52,0,0,1,1,1
"8",49,1,0,16,37000,44,52,0,0,1,1,1
"9",33,0,0,16,80000,40,52,0,0,1,1,1
"10",52,1,0,14,32000,40,52,0,0,1,1,1
"11",55,0,0,14,46000,40,52,0,0,1,1,5
"12",51,0,0,12,62000,40,52,0,0,1,1,5
"13",52,0,0,11,33000,45,52,0,0,1,1,1
"14",44,0,0,13,26040,40,52,0,0,1,1,1
"15",59,0,0,16,35000,60,52,1,0,1,1,1
"16",35,1,0,14,48000,36,52,1,0,1,1,1
"17",31,0,0,16,26000,40,52,0,0,1,1,1
"18",66,1,0,13,32000,40,52,0,0,1,1,1
"19",44,0,0,14,80000,40,52,0,0,1,1,1
"20",41,1,0,14,50000,40,52,0,0,1,1,1
"21",46,0,0,16,80000,45,52,0,0,1,1,1
"22",45,1,0,14,90000,45,52,0,0,1,1,1
"23",24,0,0,13,24000,45,52,0,0,1,1,7
"24",59,1,0,12,30000,40,52,0,0,1,1,7
"25",57,0,0,12,32000,40,52,0,0,1,1,1
"26",33,1,0,14,71000,40,52,0,0,1,1,1
"27",41,1,0,14,22500,40,52,0,0,1,1,1
"28",44,0,0,12,21000,40,52,0,0,1,1,1
"29",39,0,0,20,47000,40,52,0,0,1,1,1
"30",52,0,0,14,26000,40,52,0,0,1,1,1
"31",34,1,0,13,19240,37,52,0,0,1,1,1
"32",37,0,0,13,21840,40,52,0,0,1,1,1
"33",37,1,0,13,34843,45,52,0,0,1,1,1
"34",42,1,0,12,21000,36,52,0,0,1,1,2
"35",43,0,0,12,50000,40,52,0,0,1,1,1
"36",64,1,0,12,24176,40,52,0,0,1,7,5
"37",51,0,0,18,50475,45,52,0,0,1,1,1
"38",49,1,0,16,44000,40,52,0,0,1,1,4
"39",50,1,0,12,39643,40,52,0,0,1,1,5
"40",50,1,0,16,49000,40,52,0,0,1,1,1
"41",41,0,0,18,56000,55,52,0,0,1,1,1
"42",21,0,0,12,52000,40,52,0,0,1,1,7
"43",30,0,0,13,25000,40,52,0,0,1,1,5
"44",43,1,0,13,34000,40,52,0,0,1,1,5
"45",62,1,0,16,29300,75,52,0,0,1,1,3
"46",23,0,0,11,16000,40,52,0,0,1,1,7
"47",53,1,0,16,42000,55,52,0,0,1,1,1
"48",58,0,0,12,5000,40,52,0,0,1,1,1
"49",27,0,0,13,9500,40,52,0,0,1,1,7
"50",25,1,0,18,30000,40,52,0,0,1,1,7
"51",41,0,0,14,144000,50,52,0,0,1,1,1
"52",56,0,0,13,32000,55,52,0,0,1,1,1
"53",39,0,0,11,4000,60,50,0,0,1,1,5
"54",43,0,0,12,29000,40,52,0,0,1,1,1
"55",30,0,0,12,35880,70,52,0,0,1,1,1
"56",20,1,1,13,8600,40,49,0,0,1,1,7
"57",41,1,0,18,70500,60,52,0,0,1,1,1
"58",65,0,0,9,33000,40,48,0,0,1,1,1
"59",18,1,0,11,26793,50,50,0,0,1,1,7
"60",30,0,0,12,30000,70,52,0,0,1,1,1
"61",46,0,0,12,62000,45,52,0,0,1,1,1
"62",31,0,0,12,37000,40,52,0,0,1,1,1
"63",29,1,0,12,21000,40,52,0,0,1,1,1
"64",47,0,0,12,30000,40,52,0,0,1,1,5
"65",36,0,0,14,24000,40,52,0,0,1,1,1
"66",41,0,0,12,61340,45,52,0,1,1,1,1
"67",52,0,0,16,41701,40,52,1,0,1,1,1
"68",51,1,0,18,181252,44,52,1,0,1,1,1
"69",45,0,0,12,38000,40,52,0,0,1,1,1
"70",45,1,0,12,32000,45,52,0,0,1,1,1
"71",47,0,0,12,40000,40,52,0,0,1,1,5
"72",38,1,0,16,54435,40,52,0,0,1,1,1
"73",38,0,0,12,10000,50,52,0,0,1,1,1
"74",51,1,0,13,35000,40,52,0,0,1,1,5
"75",54,1,0,14,60000,50,52,0,0,1,1,5
"76",55,0,0,12,22000,40,52,0,0,1,7,7
"77",59,0,0,12,40000,40,52,0,0,1,1,1
"78",44,1,0,9,26000,40,52,0,0,1,1,1
"79",59,0,0,13,25000,40,52,0,0,1,1,1
"80",26,0,0,16,37000,40,52,0,0,1,1,1
"81",38,1,0,16,75000,45,52,0,0,1,1,1
"82",45,0,0,12,58000,40,52,0,0,1,1,1
"83",28,0,0,16,79000,50,52,0,0,1,1,1
"84",52,0,0,16,85000,40,52,0,0,1,1,7
"85",66,0,0,12,10000,50,52,0,0,1,1,5
"86",28,1,0,18,34000,45,52,0,0,1,1,1
"87",42,0,0,14,64315,65,52,0,0,1,1,1
"88",63,0,0,13,85000,60,52,0,0,1,1,1
"89",45,0,0,16,71000,45,52,0,0,1,1,1
"90",27,1,0,13,31000,40,52,0,0,1,1,1
"91",33,0,0,11,49000,40,52,0,0,1,1,1
"92",22,0,0,9,28000,45,52,0,0,1,7,1
"93",39,0,0,18,60000,45,52,0,0,1,1,1
"94",41,1,0,16,40000,40,52,0,0,1,1,1
"95",33,0,0,13,22441,40,50,0,0,1,1,7
"96",37,1,0,12,22000,36,52,0,0,1,1,1
"97",37,0,0,12,38000,40,52,0,0,1,1,1
"98",57,1,0,14,60000,40,52,0,0,1,1,5
"99",54,0,0,12,39000,40,52,0,0,1,1,1
"100",63,0,0,12,50000,40,52,0,0,1,1,5
"101",30,0,0,14,50000,40,52,0,0,1,1,1
"102",47,0,0,16,118000,50,52,0,0,1,1,1
"103",51,1,0,13,80474,50,52,0,0,1,1,7
"104",27,0,0,14,45000,55,52,0,0,1,1,7
"105",35,0,0,14,41900,43,52,0,0,1,1,5
"106",59,0,0,12,27239,40,52,0,0,1,1,1
"107",43,0,0,12,35000,40,48,0,0,1,1,1
"108",48,0,0,14,4040,45,52,0,0,1,1,1
"109",50,1,0,16,55000,45,52,0,0,1,1,1
"110",51,1,0,18,16000,40,50,0,0,1,1,5
"111",30,0,0,16,80000,65,52,0,0,1,1,1
"112",55,0,0,13,34000,45,52,0,0,1,2,5
"113",53,0,1,9,50000,70,52,0,0,1,1,1
"114",38,1,0,12,32000,40,52,0,0,1,1,5
"115",50,0,0,12,31000,36,52,0,0,1,1,1
"116",49,1,0,12,56000,50,52,0,0,1,1,1
"117",25,1,0,16,25000,40,52,1,0,1,1,2
"118",26,0,0,12,33000,40,52,0,0,1,1,1
"119",56,0,0,16,57000,60,52,0,0,1,1,7
"120",51,0,0,12,62000,48,52,0,0,1,1,1
"121",61,1,0,12,23000,40,52,0,0,1,1,5
"122",31,0,0,12,27001,55,52,0,0,1,1,1
"123",69,0,0,12,35000,40,52,0,0,1,1,1
"124",63,1,0,12,23000,40,52,0,0,1,1,1
"125",32,0,0,12,42000,40,52,0,0,1,1,1
"126",32,1,0,13,30000,40,52,0,0,1,1,1
"127",31,1,0,12,28000,40,52,0,0,1,1,1
"128",54,1,0,18,80000,40,52,0,0,1,1,1
"129",63,0,0,18,24000,40,52,0,0,1,1,1
"130",27,1,0,16,36600,54,52,0,0,1,1,7
"131",61,0,0,16,40000,55,52,0,0,1,1,1
"132",47,0,0,12,40000,45,52,0,0,1,1,1
"133",59,0,0,12,50000,50,52,0,0,1,1,5
"134",58,0,0,12,67000,40,52,0,0,1,1,5
"135",46,1,0,12,20000,40,52,0,0,1,1,5
"136",35,1,0,12,22000,40,52,0,0,1,1,1
"137",32,0,0,14,50000,50,52,0,0,1,1,1
"138",46,0,0,14,30000,40,52,0,0,1,1,1
"139",43,1,0,13,22000,40,52,0,0,1,1,1
"140",43,1,0,16,32000,50,52,0,0,1,1,1
"141",36,0,0,12,36200,44,52,0,0,1,1,1
"142",31,1,0,16,48000,36,52,0,0,1,1,1
"143",47,1,0,12,33200,40,52,0,0,1,1,1
"144",48,0,0,13,35000,40,52,0,0,1,1,6
"145",38,0,0,12,56000,52,52,0,0,1,1,1
"146",36,1,0,14,75000,45,52,0,0,1,1,1
"147",43,1,0,13,53898,40,52,0,0,1,1,1
"148",42,0,0,16,32144,40,49,0,0,1,1,1
"149",59,0,0,12,26000,55,52,0,0,1,1,1
"150",56,1,0,12,24787,40,52,0,0,1,5,1
"151",54,1,0,12,32000,40,52,0,0,1,1,1
"152",59,0,0,12,20000,40,52,0,0,1,1,1
"153",61,1,0,13,15000,40,52,0,0,1,1,1
"154",47,0,0,12,30000,44,52,0,0,1,1,7
"155",50,1,0,12,29000,72,52,0,0,1,1,1
"156",67,1,0,13,30000,40,52,0,0,1,1,4
"157",32,1,0,16,36000,38,52,0,0,1,4,1
"158",37,0,0,16,35000,40,52,0,0,1,1,1
"159",48,0,0,16,120000,60,52,0,0,1,1,1
"160",34,1,0,14,30000,40,52,0,0,1,1,5
"161",46,1,0,12,25000,42,52,0,0,1,1,5
"162",61,1,0,13,19000,40,52,0,0,1,1,1
"163",65,0,0,12,70000,56,52,0,0,1,1,1
"164",36,0,0,13,53000,60,52,0,0,1,1,7
"165",40,0,0,14,54000,45,52,0,0,1,1,5
"166",40,1,0,14,26000,40,52,0,0,1,1,5
"167",44,0,0,16,67000,50,52,0,0,1,1,1
"168",62,0,0,14,62402,40,52,0,0,1,1,1
"169",44,0,0,12,90000,60,52,0,0,1,1,1
"170",48,1,0,14,20000,40,52,0,0,1,1,1
"171",45,0,0,12,48500,50,52,0,0,1,1,7
"172",27,1,0,16,20484,45,52,0,0,1,1,7
