"","id","displaced","EDUC","first.displaced","race","gender","year","earn","learn"
"78",6,0,"COL",0,"White","Male",2001,43500,10.6805162170768
"79",6,0,"COL",0,"White","Male",2003,56500,10.9419959171345
"80",6,0,"COL",0,"White","Male",2005,65000,11.0821425488778
"81",6,0,"COL",0,"White","Male",2007,86000,11.3621025752356
"82",6,0,"COL",0,"White","Male",2009,90300,11.4108927394051
"83",6,0,"COL",0,"White","Male",2011,105000,11.5617156291397
"84",6,0,"COL",0,"White","Male",2013,112000,11.6262541502772
"106",8,1,"HS",2005,"White","Female",2001,31500,10.3577428248137
"107",8,1,"HS",2005,"White","Female",2003,34000,10.4341158035983
"108",8,1,"HS",2005,"White","Female",2005,36000,10.4912742174382
"109",8,1,"HS",2005,"White","Female",2007,41000,10.6213273456864
"110",8,1,"HS",2005,"White","Female",2009,41999,10.6454010874582
"111",8,1,"HS",2005,"White","Female",2011,40000,10.5966347330961
"112",8,1,"HS",2005,"White","Female",2013,47000,10.7579028806922
"120",9,0,"HS",0,"White","Male",2001,50000,10.8197782844103
"121",9,0,"HS",0,"White","Male",2003,55000,10.9150884642146
"122",9,0,"HS",0,"White","Male",2005,65000,11.0821425488778
"123",9,0,"HS",0,"White","Male",2007,50000,10.8197782844103
"124",9,0,"HS",0,"White","Male",2009,52000,10.8589989975636
"125",9,0,"HS",0,"White","Male",2011,75000,11.2252433925184
"126",9,0,"HS",0,"White","Male",2013,80000,11.289781913656
"190",14,1,"COL",2007,"White","Female",2001,66000,11.0974100210086
"191",14,1,"COL",2007,"White","Female",2003,89000,11.3963916487143
"192",14,1,"COL",2007,"White","Female",2005,116000,11.6613454700885
"193",14,1,"COL",2007,"White","Female",2007,85000,11.3504065354725
"194",14,1,"COL",2007,"White","Female",2009,95000,11.4616321705827
"195",14,1,"COL",2007,"White","Female",2011,102000,11.5327280922664
"196",14,1,"COL",2007,"White","Female",2013,45000,10.7144177687525
"218",16,0,"HS",0,"White","Female",2001,39000,10.5713169251118
"219",16,0,"HS",0,"White","Female",2003,65000,11.0821425488778
