risk_aversion,drug_tolerance,beta,risk_error,prescribing_prob,addict_risk_aversion,addict_drug_tolerance,addict_risk_aversion_growth,search_cost,prescriptions,consumption,V0,V1
low,low,0.94,0.05407224921597903,0.9349965549237308,0.2,0.3,0.25407224921597904,1.0325017225381345,3.0,0.9010931429197108,75.42546203643542,75.42546203643542
high,low,0.94,-0.016726731682714286,0.9673627851478727,0.8,0.3,0.7832732683172857,1.0163186074260637,3.0,1.648895995616534,75.42546203643542,75.42546203643542
low,low,0.94,-0.06734227799407064,0.2693288425160517,0.2,0.3,0.13265772200592937,1.365335578741974,3.0,0.9000560921496665,75.42546203643542,75.42546203643542
low,low,0.94,-0.041291669933516024,0.42637231832711264,0.2,0.3,0.158708330066484,1.2868138408364436,3.0,0.9001295729461292,75.42546203643542,75.42546203643542
high,high,0.94,-0.15526051127379772,0.4753358045892875,0.8,0.7,0.6447394887262023,1.2623320977053563,7.0,5.629296221413334,75.42546203643542,75.42546203643542
low,high,0.94,-0.025264261854448123,0.6122294759129621,0.2,0.7,0.17473573814555188,1.193885262043519,7.0,4.9001944783610005,75.42546203643542,75.42546203643542
low,low,0.94,-0.004567953790837027,0.32519679232100596,0.2,0.3,0.195432046209163,1.337401603839497,3.0,0.9003812771121801,75.42546203643542,75.42546203643542
low,high,0.94,-0.019706249790539167,0.7395469992465923,0.2,0.7,0.18029375020946084,1.1302265003767038,7.0,4.900215312303829,75.42546203643542,75.42546203643542
high,low,0.94,0.0929691171251118,0.9393919032367894,0.8,0.3,0.8929691171251118,1.0303040483816053,3.0,1.794357092527174,75.42546203643542,75.42546203643542
high,low,0.94,0.03841066882083958,0.8956641927228854,0.8,0.3,0.8384106688208396,1.0521679036385572,3.0,1.7441236042705395,75.42546203643542,75.42546203643542
low,high,0.94,-0.04409354684522122,0.6629748424064105,0.2,0.7,0.1559064531547788,1.1685125787967947,7.0,4.900107635082862,75.42546203643542,75.42546203643542
high,high,0.94,0.06929344169219304,0.5765965264951272,0.8,0.7,0.8692934416921931,1.2117017367524365,7.0,5.9170767679956615,75.42546203643542,75.42546203643542
low,high,0.94,0.12048771973452033,0.14745000057688917,0.2,0.7,0.32048771973452034,1.4262749997115554,7.0,4.9048223667413335,75.42546203643542,75.42546203643542
low,high,0.94,0.13633493482996448,0.3877842228845254,0.2,0.7,0.33633493482996446,1.3061078885577373,7.0,4.905621328298258,75.42546203643542,75.42546203643542
high,low,0.94,0.07394319279492102,0.20360938478126167,0.8,0.3,0.873943192794921,1.3981953076093692,3.0,2.0814676788807716,75.42546203643542,75.42546203643542
low,low,0.94,0.023989893368551517,0.7019009428350791,0.2,0.3,0.22398989336855152,1.1490495285824605,3.0,0.9006478595483854,75.42546203643542,75.42546203643542
high,low,0.94,0.024522352001410203,0.4304911288982697,0.8,0.3,0.8245223520014102,1.284754435550865,3.0,1.9094229337695066,75.42546203643542,75.42546203643542
high,low,0.94,-0.18654604042729153,0.41059589559231735,0.8,0.3,0.6134539595727085,1.2947020522038413,3.0,1.6029060864384852,75.42546203643542,75.42546203643542
low,high,0.94,-0.0240334697591613,0.7310374822840342,0.2,0.7,0.17596653024083872,1.134481258857983,7.0,4.900191402532081,75.42546203643542,75.42546203643542
low,high,0.94,-0.031672049882750096,0.7496947207869368,0.2,0.7,0.1683279501172499,1.1251526396065317,7.0,4.900152052167945,75.42546203643542,75.42546203643542
high,low,0.94,0.05645479517631696,0.9473921378000631,0.8,0.3,0.8564547951763171,1.0263039310999684,3.0,1.7455835955235024,75.42546203643542,75.42546203643542
low,low,0.94,0.03493385708626174,0.8153907828779976,0.2,0.3,0.23493385708626174,1.092304608561001,3.0,0.9007817570571293,75.42546203643542,75.42546203643542
low,low,0.94,0.09300237501190513,0.4026867850081399,0.2,0.3,0.2930023750119051,1.29865660749593,3.0,0.9028044650548963,75.42546203643542,75.42546203643542
high,low,0.94,0.23447010253766343,0.12352681974303337,0.8,0.3,1.0344701025376635,1.4382365901284833,3.0,2.400471541504581,75.42546203643542,75.42546203643542
high,low,0.94,-0.07595050405387392,0.8654426552969335,0.8,0.3,0.7240494959461261,1.0672786723515333,3.0,1.6128335802997498,75.42546203643542,75.42546203643542
low,low,0.94,0.08190749893551116,0.6764541869328707,0.2,0.3,0.28190749893551115,1.1617729065335647,3.0,0.902068494578578,75.42546203643542,75.42546203643542
low,high,0.94,0.06401069068734176,0.26212227050835957,0.2,0.7,0.2640106906873418,1.3689388647458203,7.0,4.901755867012741,75.42546203643542,75.42546203643542
low,high,0.94,0.12209477435643912,0.7901467411354148,0.2,0.7,0.32209477435643913,1.1049266294322926,7.0,4.903830467968896,75.42546203643542,75.42546203643542
low,low,0.94,0.15494963352996216,0.8491208991364901,0.2,0.3,0.35494963352996217,1.0754395504317549,3.0,0.9060592610660481,75.42546203643542,75.42546203643542
high,low,0.94,-0.05329523914908846,0.1510541076713977,0.8,0.3,0.7467047608509116,1.424472946164301,3.0,1.8887587865479338,75.42546203643542,75.42546203643542
low,low,0.94,-0.11781170423076831,0.3264568278390799,0.2,0.3,0.0821882957692317,1.33677158608046,3.0,0.9000050131082373,75.42546203643542,75.42546203643542
high,low,0.94,0.12136755548840093,0.32239103124675594,0.8,0.3,0.921367555488401,1.338804484376622,3.0,2.108532411951262,75.42546203643542,75.42546203643542
low,high,0.94,-0.07787011806897881,0.4439405157465671,0.2,0.7,0.1221298819310212,1.2780297421267164,7.0,4.9000347256710555,75.42546203643542,75.42546203643542
low,low,0.94,-0.11646933216846121,0.6798731546976493,0.2,0.3,0.0835306678315388,1.1600634226511755,3.0,0.9000047174955765,75.42546203643542,75.42546203643542
low,high,0.94,0.03324099636926971,0.43070333653966986,0.2,0.7,0.2332409963692697,1.2846483317301651,7.0,4.900886765313882,75.42546203643542,75.42546203643542
high,high,0.94,-0.1076285203263344,0.1719852189437544,0.8,0.7,0.6923714796736656,1.4140073905281227,7.0,5.7930497266777055,75.42546203643542,75.42546203643542
high,high,0.94,0.03988860525465007,0.6328244314571355,0.8,0.7,0.8398886052546501,1.1835877842714322,7.0,5.851650731438971,75.42546203643542,75.42546203643542
high,high,0.94,-0.06325901213833995,0.6607428866967753,0.8,0.7,0.7367409878616601,1.1696285566516123,7.0,5.698346642541622,75.42546203643542,75.42546203643542
low,low,0.94,-0.07081728006962491,0.6832471131920017,0.2,0.3,0.1291827199303751,1.1583764434039991,3.0,0.9000416746382656,75.42546203643542,75.42546203643542
low,low,0.94,-0.15702036302807387,0.9364335134189065,0.2,0.3,0.04297963697192614,1.0317832432905467,3.0,0.900000151322039,75.42546203643542,75.42546203643542
high,high,0.94,0.12020674233635031,0.3283066084070384,0.8,0.7,0.9202067423363504,1.3358466957964807,7.0,6.103963676073702,75.42546203643542,75.42546203643542
high,low,0.94,0.058227517618881036,0.4281887377911222,0.8,0.3,0.858227517618881,1.285905631104439,3.0,1.9622142964040115,75.42546203643542,75.42546203643542
low,low,0.94,-0.08018787399112048,0.08169693622872343,0.2,0.3,0.11981212600887953,1.4591515318856383,3.0,0.9000360250231305,75.42546203643542,75.42546203643542
high,low,0.94,-0.0013570504226674592,0.1623846885282766,0.8,0.3,0.7986429495773326,1.4188076557358618,3.0,1.971184675032798,75.42546203643542,75.42546203643542
low,low,0.94,0.06360941615984793,0.1418357641874064,0.2,0.3,0.26360941615984795,1.429082117906297,3.0,0.9018191218116964,75.42546203643542,75.42546203643542
low,high,0.94,-0.053075921741953115,0.022244534064087884,0.2,0.7,0.1469240782580469,1.4888777329679561,7.0,4.900101935136515,75.42546203643542,75.42546203643542
high,high,0.94,-0.018042195788406393,0.7106189809368979,0.8,0.7,0.7819578042115937,1.144690509531551,7.0,5.741719193087148,75.42546203643542,75.42546203643542
high,low,0.94,0.008731009538665796,0.3613395482211158,0.8,0.3,0.8087310095386658,1.3193302258894422,3.0,1.9118325166921148,75.42546203643542,75.42546203643542
high,low,0.94,-0.17152063271646584,0.7955486862631128,0.8,0.3,0.6284793672835343,1.1022256568684436,3.0,1.5167857007694998,75.42546203643542,75.42546203643542
high,low,0.94,0.14248390141734554,0.12554204090212318,0.8,0.3,0.9424839014173456,1.4372289795489384,3.0,2.2346530751588336,75.42546203643542,75.42546203643542
high,high,0.94,0.019952143022064925,0.3207223238695107,0.8,0.7,0.819952143022065,1.3396388380652446,7.0,5.945257666209696,75.42546203643542,75.42546203643542
high,low,0.94,0.07801494732501832,0.5248313098489482,0.8,0.3,0.8780149473250184,1.237584345075526,3.0,1.9518460825731767,75.42546203643542,75.42546203643542
high,high,0.94,0.09914005680874532,0.5622794217280034,0.8,0.7,0.8991400568087453,1.2188602891359983,7.0,5.967181063369301,75.42546203643542,75.42546203643542
high,low,0.94,-0.08505579668142915,0.059237776193368896,0.8,0.3,0.7149442033185709,1.4703811119033157,3.0,1.8666518843681545,75.42546203643542,75.42546203643542
high,high,0.94,-0.08281669062039725,0.7400513778305827,0.8,0.7,0.7171833093796028,1.1299743110847087,7.0,5.6457723673902676,75.42546203643542,75.42546203643542
high,high,0.94,-0.011614947635797788,0.44232506587040066,0.8,0.7,0.7883850523642023,1.2788374670647997,7.0,5.850032207064514,75.42546203643542,75.42546203643542
low,high,0.94,0.06242567911833376,0.1991164774778914,0.2,0.7,0.26242567911833375,1.4004417612610542,7.0,4.901742997249576,75.42546203643542,75.42546203643542
high,high,0.94,-0.11703391519390048,0.0794260030213324,0.8,0.7,0.6829660848060995,1.4602869984893339,7.0,5.806644728316643,75.42546203643542,75.42546203643542
low,low,0.94,-0.06680495897342807,0.7409813289584896,0.2,0.3,0.13319504102657193,1.1295093355207553,3.0,0.9000473511035002,75.42546203643542,75.42546203643542
low,high,0.94,0.05295937373129516,0.7869278986115003,0.2,0.7,0.2529593737312952,1.1065360506942499,7.0,4.901146091930161,75.42546203643542,75.42546203643542
high,high,0.94,-0.01353579736917633,0.8085723216813362,0.8,0.7,0.7864642026308237,1.095713839159332,7.0,5.711513682360974,75.42546203643542,75.42546203643542
high,low,0.94,0.11499301276486829,0.3308591302394639,0.8,0.3,0.9149930127648683,1.334570434880268,3.0,2.09430079562167,75.42546203643542,75.42546203643542
low,low,0.94,0.004059165454696361,0.1398241417441466,0.2,0.3,0.20405916545469638,1.4300879291279267,3.0,0.9005059915588339,75.42546203643542,75.42546203643542
low,high,0.94,-0.08478206247904946,0.7337252117977652,0.2,0.7,0.11521793752095055,1.1331373941011174,7.0,4.900023008221819,75.42546203643542,75.42546203643542
low,low,0.94,-0.0876831823788476,0.3711927880063576,0.2,0.3,0.1123168176211524,1.3144036059968212,3.0,0.9000234937687849,75.42546203643542,75.42546203643542
low,high,0.94,0.0741609646541674,0.8988975629263284,0.2,0.7,0.2741609646541674,1.0505512185368358,7.0,4.901627216459082,75.42546203643542,75.42546203643542
low,high,0.94,-0.04309761232057038,0.0964320690154028,0.2,0.7,0.15690238767942963,1.4517839654922986,7.0,4.900138054242788,75.42546203643542,75.42546203643542
high,high,0.94,0.02980150245636993,0.03617264152392885,0.8,0.7,0.82980150245637,1.4819136792380356,7.0,6.073655607221555,75.42546203643542,75.42546203643542
low,low,0.94,0.06841092284075374,0.8340145774813238,0.2,0.3,0.26841092284075374,1.082992711259338,3.0,0.9015087818809578,75.42546203643542,75.42546203643542
low,low,0.94,0.034041961662168274,0.6983072528358851,0.2,0.3,0.23404196166216829,1.1508463735820573,3.0,0.9008081388799498,75.42546203643542,75.42546203643542
high,low,0.94,0.11145616204475364,0.4898582771617471,0.8,0.3,0.9114561620447537,1.2550708614191264,3.0,2.0177327563119163,75.42546203643542,75.42546203643542
low,low,0.94,-0.05118179612308074,0.09552294067530798,0.2,0.3,0.14881820387691927,1.452238529662346,3.0,0.9001060030223652,75.42546203643542,75.42546203643542
high,high,0.94,-0.109949149658681,0.9563793363688512,0.8,0.7,0.6900508503413191,1.0218103318155745,7.0,5.542645778270889,75.42546203643542,75.42546203643542
low,high,0.94,0.092134238117379,0.8539516187966243,0.2,0.7,0.29213423811737904,1.073024190601688,7.0,4.902283083572561,75.42546203643542,75.42546203643542
high,high,0.94,-0.05051596654064248,0.6151152967803032,0.8,0.7,0.7494840334593575,1.1924423516098483,7.0,5.731553841167643,75.42546203643542,75.42546203643542
