CODE,ORIG,FIRM_ID,YEAR,PRICE,QUANTITY,HP,LENGTH,WIDTH,SIZE,WEIGHT,FUEL,MPG,FUELPRICE,SEGMENT,steel_price,brand_id,model_id
10102,1,4,1995,27.5813,179,.0480319,179.1339,69.29134,1.241243,3039.647,0,40.55424,.70969,4,1,1,38
10103,1,4,1995,20.20233,4934,.0410193,161.0236,67.32284,1.084057,2511.013,0,38.55977,.70969,2,1,1,34
10104,1,4,1995,23.65143,1017,.0481811,174.8031,67.03937,1.171869,2671.586,0,35.10666,.70969,3,1,1,36
10105,1,4,1995,15.58488,22799,.0397974,167.3228,67.32284,1.126465,2588.106,0,38.55977,.70969,2,1,1,35
10201,1,19,1995,35.49563,4,.0440745,188.5827,69.68504,1.314139,3017.621,0,33.60209,.70969,4,1,2,1
10202,1,19,1995,17.6553,4920,.0475449,176.378,66.53543,1.173538,2797.357,0,36.75228,.70969,3,1,2,20
10203,1,19,1995,34.88985,5,.0521839,172.0472,67.71654,1.165044,2874.449,0,35.10666,.70969,4,1,2,70
10204,1,19,1995,38.66947,4,.0463265,175.9843,68.11024,1.198633,2698.238,0,40.55424,.70969,3,1,2,28
10205,1,19,1995,50.31481,1,.0472917,188.5827,70.07874,1.321564,3171.806,0,33.60209,.70969,4,1,2,29
10206,1,19,1995,36.06362,4,.0538854,198.0315,74.01575,1.465745,3229.075,0,32.66869,.70969,4,1,2,30
10302,1,1,1995,32.11058,48,.0490235,170.0787,64.56693,1.098146,2345.815,0,39.20243,.70969,3,1,3,146
10304,1,1,1995,47.20488,1,.0590969,185.8268,68.89764,1.280303,3248.899,0,35.63857,.70969,4,1,3,148
10305,1,1,1995,42.97568,1,.0582188,193.3071,72.83465,1.407945,3744.493,0,29.40182,.70969,4,1,3,150
10402,3,2,1995,32.19544,23,.0435918,177.9528,69.29134,1.233058,3616.96,0,29.40182,.70969,5,1,4,175
10404,3,2,1995,21.98654,2327,.0540379,171.6535,67.32284,1.15562,2442.731,0,37.33565,.70969,3,1,4,113
10405,3,2,1995,34.90997,9,.0440548,185.8268,70.86614,1.316883,2973.568,0,36.75228,.70969,4,1,4,157
10408,3,2,1995,29.1096,100,.0584718,201.5748,74.40945,1.499907,3557.269,0,31.78575,.70969,4,1,4,174
10501,1,14,1995,14.20844,41227,.0403556,138.5827,61.02362,.8456817,1486.784,0,60.31143,.70969,1,1,5,48
10502,1,14,1995,29.21269,85,.0439355,185.4331,70.47244,1.306792,3072.687,0,36.18686,.70969,4,1,5,179
10503,1,14,1995,19.16039,4539,.031144,160.2362,66.53543,1.066139,2279.736,0,53.45786,.70969,2,1,5,185
10504,1,14,1995,20.34999,3705,.0403299,174.8031,68.89764,1.204352,2638.987,0,41.61249,.70969,3,1,5,177
10505,1,14,1995,29.19638,73,.0356818,175.1969,71.25984,1.24845,3447.136,0,32.66869,.70969,5,1,5,80
10601,2,3,1995,15.07715,32797,.0345483,176.378,65.35433,1.152706,2257.709,0,44.38011,.70969,2,1,6,114
10602,2,3,1995,19.63934,4833,.037149,181.4961,67.32284,1.221883,2557.269,0,41.26572,.70969,3,1,6,43
10701,1,4,1995,28.49684,224,.0255775,127.1654,58.66142,.74597,1563.877,0,58.80365,.70969,1,1,7,60
10702,1,4,1995,22.34099,1702,.0442836,177.5591,69.29134,1.23033,2687.225,0,39.20243,.70969,3,1,7,71
10703,1,4,1995,5.045219,165473,.0287342,134.252,59.05512,.7928266,1740.088,0,38.55977,.70969,1,1,7,119
10704,1,4,1995,33.23431,86,.0386932,148.4252,63.77953,.9466489,1938.326,0,44.38011,.70969,1,1,7,131
10705,1,4,1995,20.48479,4192,.0377237,171.2598,66.92913,1.146227,2279.736,0,42.47437,.70969,2,1,7,163
10706,1,4,1995,20.74323,3576,.0402515,155.9055,66.92913,1.043462,2136.564,0,47.04292,.70969,2,1,7,165
10707,1,4,1995,12.38364,31215,.03405,145.2756,61.41732,.8922438,1674.009,0,52.26991,.70969,1,1,7,171
10708,1,4,1995,32.96662,33,.0515744,167.3228,69.29134,1.159402,2753.304,0,33.60209,.70969,4,1,7,70
10709,1,4,1995,23.08707,1075,.0346587,175.1969,72.04724,1.262245,3491.189,0,32.66869,.70969,5,1,7,170
10710,1,4,1995,19.78776,3020,.0556792,153.937,64.56693,.9939241,2334.802,0,38.69679,.70969,4,1,7,50
10711,1,4,1995,13.94243,42817,.0445352,158.2677,68.89764,1.090427,2312.775,0,42.76629,.70969,2,1,7,54
10712,1,4,1995,18.42344,6435,.0349231,164.5669,68.50394,1.127348,2290.749,0,45.23357,.70969,2,1,7,53
10801,1,5,1995,17.51324,12076,.0406082,160.3858,66.38583,1.064735,2216.3,0,41.90756,.70969,2,1,8,78
10802,1,5,1995,14.48386,35207,.0318597,147.2441,63.38583,.9333189,1883.26,0,47.04292,.70969,1,1,8,84
10803,1,5,1995,21.31808,2387,.0408849,176.378,67.32284,1.187426,2812.775,0,43.55825,.70969,3,1,8,109
10804,1,5,1995,32.16484,25,.0429712,180.315,68.11024,1.228129,2676.211,0,38.55977,.70969,4,1,8,128
10805,1,5,1995,29.4505,67,.0422326,189.7638,73.62205,1.39708,3220.264,0,35.10666,.70969,4,1,8,140
11001,2,7,1995,22.87234,1477,.0473896,183.8583,67.32284,1.237786,2764.317,0,34.08907,.70969,3,1,9,32
11002,2,7,1995,19.65304,4958,.0433585,161.6811,66.88189,1.081354,2137.203,0,42.58665,.70969,2,1,9,61
11004,2,7,1995,34.50111,12,.0643602,174.8031,69.68504,1.218116,2874.449,0,34.08907,.70969,4,1,9,123
11102,2,8,1995,16.91145,20658,.049674,172.7953,66.3189,1.145959,2545.595,0,33.38792,.70969,2,1,10,98
11103,2,8,1995,20.94734,2099,.0258528,165.748,64.17323,1.063659,3171.806,0,39.20243,.70969,4,1,10,134
