year	month	store_id	week_id	market_name	state	brand	parent	flavored	fortified	fiber	sugars	price	quantity	puma	sugar_price	M	segment
2008	7	108	6	"BOSTON"	"Massachusetts"	"GENERAL MILLS REESES PUFFS"	"GENERAL MILLS"	1	1	0	13	.2642175	196	2700	208.3023	52184.07	"Child"
2008	7	108	6	"BOSTON"	"Massachusetts"	"GENERAL MILLS TRIX"	"GENERAL MILLS"	1	1	0	12	.2458321	88.8	2700	208.3023	52184.07	"Child"
2008	7	108	6	"BOSTON"	"Massachusetts"	"QUAKER LIFE"	"PEPSICO INC"	0	1	2	6	.2331879	294	2700	208.3023	52184.07	"Adult"
2008	7	108	6	"BOSTON"	"Massachusetts"	"QUAKER CAP N CRUNCH CRUNCH BE"	"PEPSICO INC"	1	0	0	12	.2250302	195	2700	208.3023	52184.07	"Family"
2008	7	108	6	"BOSTON"	"Massachusetts"	"GENERAL MILLS HONEY NUT CHEER"	"GENERAL MILLS"	1	0	1.5	10	.2227223	565.744	2700	208.3023	52184.07	"Family"
2008	7	108	6	"BOSTON"	"Massachusetts"	"GENERAL MILLS TOTAL RAISIN BR"	"GENERAL MILLS"	0	1	2.666667	9.333333	.2130642	238.848	2700	208.3023	52184.07	"Family"
2008	7	108	6	"BOSTON"	"Massachusetts"	"GENERAL MILLS WHEATIES"	"GENERAL MILLS"	1	0	3	3	.2936037	140.4	2700	208.3023	52184.07	"Adult"
2008	7	108	6	"BOSTON"	"Massachusetts"	"GENERAL MILLS TOTAL"	"GENERAL MILLS"	1	1	2.666667	9.333333	.2941532	241.2	2700	208.3023	52184.07	"Adult"
2008	7	108	6	"BOSTON"	"Massachusetts"	"QUAKER CAP N CRUNCH"	"PEPSICO INC"	0	0	0	12	.2109658	128	2700	208.3023	52184.07	"Family"
2008	7	108	6	"BOSTON"	"Massachusetts"	"GENERAL MILLS KIX"	"GENERAL MILLS"	0	0	0	3	.3236428	184.8032	2700	208.3023	52184.07	"Child"
2008	7	108	6	"BOSTON"	"Massachusetts"	"GENERAL MILLS BASIC 4"	"GENERAL MILLS"	0	0	1.503759	6.015038	.2731976	80	2700	208.3023	52184.07	"Adult"
2008	7	108	6	"BOSTON"	"Massachusetts"	"GENERAL MILLS COCOA PUFFS"	"GENERAL MILLS"	1	1	0	13	.2237853	33.0016	2700	208.3023	52184.07	"Child"
2008	7	108	6	"BOSTON"	"Massachusetts"	"GENERAL MILLS GOLDEN GRAHAMS"	"GENERAL MILLS"	1	1	0	9	.2404198	128	2700	208.3023	52184.07	"Family"
2008	7	108	6	"BOSTON"	"Massachusetts"	"GENERAL MILLS CINNAMON TST CR"	"GENERAL MILLS"	1	1	0	9	.2161875	610.5088	2700	208.3023	52184.07	"Family"
