market,dist1,dist2,dist3,dist4
1,.0593139,.161568,.09894,.0683196
1,.093867,.0782994,.0668519,.0499918
1,.0942559,.0781591,.0669201,.0503827
1,.0939394,.0783886,.066751,.0500629
1,.0938771,.0783831,.0667679,.0500007
1,.0450295,.1181754,.0802464,.0257855
1,.0942449,.0781343,.0669463,.0503721
1,.0942503,.0781321,.0669476,.0503776
1,.0942558,.0781304,.0669483,.0503831
1,.0942551,.0781299,.0669489,.0503824
1,.0922629,.0790223,.0664771,.0483798
1,.0796308,.0859085,.0651365,.03595
1,.0939627,.0775378,.067583,.050101
1,.0941941,.0781583,.0669316,.050321
1,.0942552,.0781299,.0669489,.0503824
1,.0787028,.0864966,.0651579,.0350684
1,.0933802,.0785149,.0667337,.0495021
1,.0942552,.0781298,.066949,.0503825
1,.0942433,.078135,.0669459,.0503706
1,.0855187,.0824382,.0653928,.0416671
1,.0933919,.0785301,.0667165,.0495136
1,.0942552,.0781298,.066949,.0503825
1,.0891097,.0805465,.065867,.0452262
1,.0979871,.0779826,.0666375,.0541183
1,.0942551,.0781299,.0669489,.0503824
1,.075518,.0959622,.0597311,.0335131
1,.0942552,.0781298,.066949,.0503825
1,.0942202,.078145,.0669401,.0503473
1,.0890829,.0805573,.0658652,.0451994
1,.0506091,.1165998,.0745725,.0261131
1,.0942552,.0781298,.0669489,.0503825
1,.0921583,.0790702,.0664546,.0482748
1,.0909207,.0796533,.0661977,.0470347
1,.0942434,.078135,.0669459,.0503706
1,.0942552,.0781299,.0669489,.0503824
1,.0942552,.0781298,.066949,.0503825
1,.0942547,.0781301,.0669488,.0503819
1,.0878487,.0812842,.0655857,.0439732
1,.0823435,.0842835,.0651446,.0385626
1,.0941624,.0781702,.0669255,.0502891
1,.0701956,.0925065,.066116,.0274531
1,.0578493,.1047604,.0698026,.0212337
1,.0824191,.0882494,.0615959,.0389593
1,.0931578,.0786164,.0666792,.0492785
1,.0942552,.0781298,.066949,.0503825
1,.0483425,.1507832,.098343,.0576196
1,.0942551,.0781299,.0669489,.0503823
1,.0787435,.0873057,.0644392,.0351868
1,.0942552,.0781298,.066949,.0503825
1,.0931965,.0785972,.0666901,.0493174
1,.0942552,.0781298,.066949,.0503825
1,.0679339,.0941432,.0667248,.0256144
1,.0517283,.109148,.0743145,.0202836
1,.094333,.0782411,.0668261,.0504586
1,.0942597,.0782054,.0668739,.0503858
1,.0933464,.0787305,.0665293,.0494658
1,.0942541,.0781303,.0669487,.0503814
1,.0836949,.0834655,.0652418,.0398773
1,.0662457,.1272642,.0601357,.0417892
1,.0798768,.0880256,.0631693,.0363979
1,.0942543,.0781302,.0669487,.0503816
1,.0942552,.0781298,.066949,.0503825
1,.0942459,.0781339,.0669466,.0503731
1,.0917387,.0792655,.0663646,.0478541
1,.0918043,.0805094,.0651417,.0479206
1,.0940121,.0784491,.0666784,.0501348
1,.0942552,.0781298,.066949,.0503825
1,.0942552,.0781298,.066949,.0503825
1,.0942545,.0781301,.0669488,.0503818
1,.0942551,.0781299,.0669489,.0503824
1,.0942054,.0781515,.0669363,.0503323
1,.0863116,.0820053,.0654778,.0424493
1,.0942782,.0782966,.066781,.050403
1,.0827465,.0840163,.0651886,.0389526
1,.0942356,.078065,.0670161,.0503639
1,.0942481,.0781329,.0669471,.0503754
1,.0942552,.0781298,.066949,.0503825
1,.0926498,.0788456,.0665627,.0487682
1,.0942517,.0781314,.066948,.0503789
1,.0942552,.0781298,.066949,.0503825
1,.0942552,.0781298,.066949,.0503825
1,.0738236,.0897702,.0655619,.0305665
1,.0942476,.0781331,.066947,.0503749
1,.0942412,.0781369,.0669444,.0503683
1,.094253,.0781313,.0669479,.0503802
1,.0942553,.0781298,.066949,.0503826
