market,x1,x2,x3,x4,p1,p2,p3,p4,ave_dist1,ave_dist2,ave_dist3,ave_dist4,s1,s2,s3,s4,mc1,mc2,mc3,mc4
1,2.02495,.2523528,3.466564,.3059981,8.705966,5.204025,5.1013,5.026601,.0874741,.0865327,.0684392,.0473991,.48,.098,.163,.12,.7680968,.8238161,.3475111,.4644175
2,.9417154,.9089467,.4948316,3.949624,5.433869,4.804076,6.152172,5.725076,.5531489,.9663992,.5759524,.6330349,.143,.039,.328,.219,.7211121,.6722823,.3342155,.6434747
3,.2063194,.4807302,1.544248,2.0583,5.565271,4.726546,4.893177,5.76696,.4619979,.4429352,.5081018,.4226889,.164,.047,.157,.271,.8207489,.5521584,.137759,.3720387
4,2.100487,3.148032,3.816538,.7616435,4.371284,5.397192,6.056849,5.59934,.3419338,.5331137,.4149446,.5147128,.089,.117,.207,.159,.0452942,.8526886,.851738,.9488817
5,2.190207,4.414168,.0745127,2.124842,4.73885,4.463772,5.218619,6.629943,.3946688,.3895103,.2904082,.470165,.128,.11,.105,.371,.1769488,.0383705,.7674829,.3665472
6,.6555992,2.44463,2.461896,2.823734,4.799054,8.081436,4.47028,4.988316,.9952413,1.119541,.8925093,1.178795,.153,.527,.08,.019,.1151619,.0456615,.1047512,.9036462
7,4.854627,3.3835,.7997206,3.216176,5.076279,4.650996,5.379331,4.447872,.0874618,.12048,.0948577,.0354574,.201,.082,.175,.097,.0743387,.2519095,.6188545,.0717442
8,.8407548,1.90945,2.919637,2.768968,8.593665,4.682031,5.105318,4.730218,1.783148,2.119181,1.987377,1.760546,.531,.036,.083,.058,.0318271,.5077922,.7804701,.5067466
9,3.27141,4.721851,2.910554,.0298235,4.765492,6.485919,5.436233,6.264423,.5138084,.5211386,.4162709,.4514822,.023,.332,.161,.308,.6295495,.4703517,.80594,.4102419
10,1.873027,4.736936,2.340059,3.781876,5.784158,4.835086,6.245491,5.194707,1.024768,1.272096,1.169181,1.116426,.166,.056,.352,.086,.8951038,.6257617,.2142249,.8793659
11,.3153639,4.285174,3.951139,1.140206,5.161631,6.100968,5.508963,5.428978,1.300349,1.182282,1.212808,1.264645,.12,.237,.129,.106,.7310566,.8916878,.9002461,.9425958
12,.9718407,.6923714,3.595462,2.343761,4.703048,5.394395,5.289537,5.500188,.8419195,.8832566,.8374249,.938534,.157,.161,.126,.166,.0409679,.5909879,.6482176,.7050284
13,.6429213,4.684176,2.014689,4.359639,5.264943,4.839092,5.843357,5.266354,.0523311,.073863,.0266172,.0511058,.163,.126,.177,.155,.5501325,.2741862,.8980221,.548929
14,1.357335,2.465242,.6165225,1.108548,4.912206,6.317865,4.588647,5.609873,1.183393,1.414158,1.358386,1.023741,.078,.367,.05,.215,.6144028,.0734133,.3468069,.6433375
15,3.087805,3.406481,.733422,1.225833,6.66368,4.891329,4.772791,5.611017,.4790328,.5385692,.4810841,.4321059,.333,.115,.029,.235,.6000583,.3854435,.6416666,.3895133
16,3.208419,2.232817,2.672733,3.821568,5.740338,5.040987,5.142621,4.953947,1.191545,1.081945,1.432524,1.014702,.221,.17,.078,.116,.6477571,.1992225,.7541214,.4580374
17,.8116717,2.526629,4.162852,4.25859,5.065672,4.918384,5.695014,6.834204,.2501374,.3773074,.2645678,.277972,.08,.094,.205,.396,.7719072,.5047745,.671627,.384622
18,1.713032,4.113699,1.379765,2.735453,4.895912,7.717335,4.722015,6.06274,.8841346,.9592479,1.12316,1.030259,.017,.403,.069,.215,.8304935,.9135377,.5097873,.8470867
19,1.118978,.1151838,2.088849,4.747443,4.939538,5.144612,5.923312,4.838089,1.328724,1.346198,.9113234,1.324878,.088,.165,.281,.071,.6183264,.4094717,.3402893,.5363923
20,1.057684,2.53663,.6501257,3.760784,4.705322,4.70864,4.626935,8.172247,1.187368,2.804951,2.800417,2.620969,.023,.1,.045,.487,.6473905,.2790254,.4784645,.5341046
21,2.479479,.6908763,2.939527,1.041889,5.75458,5.265254,4.473893,4.851915,.6985154,.6427965,.6406838,.6788779,.165,.14,.087,.157,.9799193,.6284813,.1241058,.1752869
22,1.306474,3.362114,1.273687,.8393309,4.687926,6.646048,5.045398,4.442287,.5232344,.5588671,.4264592,.5619732,.067,.343,.149,.101,.4443356,.586826,.3023893,.0851076
23,.041995,4.161062,1.919336,2.798809,5.661863,5.912069,4.428997,5.518064,.0788356,.0796037,.0884152,.077661,.132,.204,.08,.199,.9958797,.9773127,.0970319,.577211
24,1.157181,1.885698,1.220853,4.478998,5.04508,4.99486,5.096072,6.465364,.7876095,.641286,.9597672,.7352386,.164,.053,.107,.32,.2919184,.7590745,.6218112,.6463047
25,1.676253,2.33681,3.621952,.765951,5.18524,5.776277,4.891055,4.700555,1.332305,1.70021,1.625035,1.459159,.188,.194,.115,.102,.3428769,.8973188,.3746501,.2349471
26,1.775004,1.245807,3.200587,4.192784,4.645775,5.455076,5.538333,4.603159,6.543028,6.525048,5.051017,5.965314,.066,.204,.247,.042,.3909326,.5081627,.1306022,.4138348
27,.531926,1.430713,4.219472,.2475056,5.013495,4.843625,5.987123,5.463092,.3265566,.3738825,.4468916,.4265616,.139,.092,.261,.225,.410091,.5093905,.6155322,.3517473
28,1.922305,3.191515,2.53815,4.006038,4.916041,4.374275,6.748766,5.063148,.9316112,.7957689,.8602378,.8512942,.013,.071,.361,.21,.8444569,.0041899,.5039536,.1421339
29,.2977666,4.431759,2.077894,1.194855,5.242503,7.088394,4.41297,5.610634,.7532585,.6478449,.7312824,.6567728,.085,.416,.059,.28,.8164499,.3358743,.180813,.1528842
30,3.14665,.9174101,2.912715,3.926371,5.635439,5.251372,5.192726,5.747986,.3572053,.2568521,.3448884,.2924075,.155,.095,.204,.208,.9146483,.7970011,.1560882,.8728863
31,3.200714,3.108132,4.716034,1.942511,5.58865,4.726872,6.784184,5.216201,.366898,.3534043,.5438637,.5826315,.18,.027,.418,.142,.7676389,.6315316,.1081589,.5651178
32,2.353967,4.050072,2.474674,4.293167,5.281628,9.220135,4.680683,4.664305,.1038381,.1218859,.1277634,.1119168,.082,.532,.06,.091,.9811729,.6702307,.4420289,.2060244
33,4.028329,4.874669,2.175935,4.910513,7.693032,6.487137,4.858341,4.470634,2.05581,2.06425,2.003256,2.355851,.393,.336,.125,.034,.9826695,.566442,.3367309,.3171819
34,4.397631,4.826122,.4176694,3.27192,4.408263,5.597513,5.213252,6.119898,1.695724,1.589515,2.010741,1.884928,.038,.185,.125,.274,.2705708,.6920713,.6594552,.8508034
35,4.571259,2.758934,4.23032,.4335245,5.032235,6.215065,5.532949,4.734118,.6017973,.4489007,.7771141,.4770043,.089,.257,.225,.157,.6480092,.7139939,.3110978,.1105873
36,4.518677,2.057379,3.978731,2.329864,6.590679,4.89518,6.341536,5.462259,.0137158,.0189069,.0240255,.0317308,.347,.062,.31,.147,.537416,.6789198,.7468128,.828645
37,.6925238,1.065784,1.258221,1.584898,5.769711,4.257235,5.372768,5.333298,.4587358,.6663404,.4439879,.3661415,.163,.053,.13,.139,.9203044,.0185494,.8418405,.6642542
38,4.10747,.0944112,3.31884,1.744553,4.967564,4.82677,9.557494,4.782989,.4251944,.3605393,.4667352,.3810129,.192,.037,.556,.053,.1368877,.6742159,.5969832,.5544273
39,3.04978,3.670076,3.785173,.1908367,6.223423,5.529628,5.120296,4.845367,.1732324,.1337665,.1396139,.2157824,.316,.121,.145,.07,.2775145,.9833126,.4954534,.5641165
40,3.100108,1.162207,4.086639,4.597742,5.744254,5.182538,5.004552,4.972029,.3713022,.4432111,.376063,.3608219,.214,.046,.171,.108,.6957424,.9713147,.2445447,.4394561
41,4.476847,2.836672,.169054,4.882946,4.937722,4.862239,4.961388,6.691339,.4166581,.3143499,.4209905,.381063,.086,.103,.091,.414,.5613587,.4068851,.5386307,.3175573
42,4.921845,.4384544,1.49708,3.928452,5.574106,4.975979,5.32202,4.764227,.375138,.3545198,.380444,.3603533,.148,.193,.23,.108,.8672546,.0078837,.3177912,.3328886
43,4.913255,3.748389,1.028089,4.516066,6.379131,5.410419,4.244812,5.268715,.4461358,.566692,.6237429,.5483047,.364,.251,.047,.093,.2387012,.0311352,.0295467,.9385954
44,4.496621,2.558606,3.746507,4.895235,5.061943,6.100543,4.943063,5.760974,.5898443,.379,.3773218,.3703723,.103,.271,.082,.253,.5851718,.7398299,.6453145,.4005459
45,.9056814,4.967718,.4420579,3.574589,5.275774,7.319286,4.755929,5.624868,1.399942,1.235717,1.135441,1.117653,.068,.469,.137,.159,.9441586,.1057828,.0708192,.9428396
46,.2533274,3.153781,4.171734,.8948483,5.284741,5.229133,5.732475,6.220531,.4056603,.3995708,.47835,.4315592,.097,.205,.208,.277,.8952521,.2148714,.7640228,.7103075
47,1.506394,1.427367,3.656903,4.310051,5.524754,5.392834,4.983394,6.17456,.6237838,.6012211,.5651717,.5572977,.14,.117,.169,.32,.8814065,.8244211,.1954197,.3577185
48,.9509193,.6301088,4.807229,3.146389,4.533603,4.889248,6.834616,5.575651,.7268661,.4955249,.5288736,.4865766,.037,.112,.362,.239,.3551147,.2464278,.7610969,.3780757
49,2.06901,1.420628,3.432501,.6090474,4.817702,6.789743,4.524889,5.126144,.2149018,.2835552,.278234,.4271937,.157,.333,.116,.043,.1129648,.9356402,.0637208,.9593496
50,1.914955,4.189627,4.332592,1.736398,5.212403,6.837054,5.02933,5.06712,2.534143,1.557185,2.312538,2.219027,.125,.334,.102,.059,.7043511,.8995364,.5618129,.8594269
51,3.290449,1.206313,1.232026,1.917501,5.585037,7.995059,4.187531,5.427782,1.120184,1.128779,1.774692,1.333446,.145,.44,.012,.202,.8438739,.8868749,.1375929,.5465594
52,4.326347,.7450566,2.482099,4.915174,7.690967,4.690717,5.231221,5.209877,.3233311,.2991542,.2576493,.2561466,.471,.059,.111,.135,.2014515,.4051522,.7294763,.7392524
53,2.668305,4.499506,.2538731,4.722982,4.814205,8.885889,4.168006,5.311413,3.603593,2.557878,2.738643,3.187797,.051,.564,.03,.15,.5779686,.0611116,.0154152,.598073
54,3.610174,4.336143,4.767557,3.735299,5.849903,6.970381,4.631402,4.828535,.3639113,.4109573,.3608017,.3425637,.183,.351,.08,.099,.9809513,.8546985,.3363469,.349118
55,4.66743,4.215041,4.683935,4.289731,5.510988,5.857397,5.695982,4.753023,.7882108,.8192769,.926928,.8242137,.226,.279,.203,.074,.3137138,.458207,.6146572,.4164769
56,4.993154,2.761636,.7375754,.1283024,6.011062,5.186589,5.196634,5.433721,.2216281,.3542711,.3223709,.3096938,.216,.093,.129,.218,.9165715,.7688923,.5496848,.4124292
57,3.095021,.6770345,3.325582,3.586535,5.769604,4.597715,5.756162,5.231754,.1209978,.1403649,.1309501,.1205535,.214,.091,.305,.183,.7976268,.1374722,.0718899,.2879651
58,1.221918,1.992467,4.331627,4.314929,4.610837,4.948126,8.555655,5.817616,.1387486,.2299708,.264931,.2816055,.016,.085,.514,.207,.5583302,.5946457,.3189521,.7010071
59,2.477999,.7573456,2.953143,3.093246,6.497881,5.156469,4.994913,5.167845,2.142364,2.072435,1.825012,1.944556,.292,.038,.071,.232,.9822439,.9781998,.6793577,.0642536
60,3.07168,2.254611,4.363794,.7047461,4.464925,5.711267,5.280295,5.275825,.3430999,.3100589,.2829941,.332758,.072,.203,.163,.184,.1357517,.8116489,.5935743,.2201893
61,3.886102,2.504296,3.494724,1.688981,5.074369,5.406188,5.153106,4.677522,1.255247,1.301937,1.288601,1.381218,.186,.106,.248,.111,.1527973,.9348906,.0311876,.2589465
62,.3956125,4.163019,2.019359,1.456001,5.353319,5.289345,4.339766,6.8931,.2471071,.181781,.2153259,.2037027,.096,.223,.041,.321,.9463493,.2710284,.1845833,.8787066
63,2.616725,2.719263,3.244427,.1268299,4.754609,5.361429,5.186558,6.762578,1.19702,1.155393,1.307791,1.297317,.046,.145,.046,.402,.5813211,.7771135,.9855907,.0695462
64,1.668998,1.796209,4.884201,2.121196,5.084432,5.159462,8.083333,5.022715,1.741984,1.998974,2.455823,1.503506,.085,.041,.471,.029,.7200935,.9653548,.7632841,.9406089
65,4.051766,1.093822,1.411363,2.177842,6.483163,5.447478,5.091095,5.203169,.638973,.5242144,.4900365,.5509558,.364,.161,.064,.166,.4675693,.6477431,.7937571,.3709351
66,3.867924,4.135489,2.970913,1.92449,4.551267,5.427298,5.138614,5.164683,.3771015,.4218942,.5737436,.4753312,.05,.132,.144,.241,.3400982,.8776072,.4022378,.0510806
