id,year,Y,Y2,L,K,M,industry,country
10250,81,295.6000061035,112.9675674438,2.8571429,15.47344493866,182.6324310303,"metal","col"
10732,89,4732.71484375,2566.076416016,86.157181,470.1085510254,2166.638427734,"metal","col"
10732,90,4799.564453125,2607.644042969,73.586014,644.4294433594,2191.920410156,"metal","col"
10962,82,7089.506835938,1835.562866211,37.949612,5538.274414063,5253.944335938,"metal","col"
10962,83,4942.055664063,1343.475830078,40.47036,6313.73828125,3598.580078125,"metal","col"
11192,81,1813.300048828,1311.333251953,23.983936,1722.781494141,501.9667053223,"metal","col"
11195,81,44705.69921875,21901.89453125,589.97681,9910.638671875,22803.80664063,"metal","col"
11195,83,50975.2421875,28275.54296875,564.50732,16430.08007813,22699.69726563,"metal","col"
11214,81,1824.699951172,844.5161132813,50.249405,806.7913818359,980.1838989258,"metal","col"
11214,82,2359.866699219,1215.916748047,52.808941,1028.444580078,1143.950073242,"metal","col"
11214,83,2660.749511719,1623.576293945,67.874077,1083.898071289,1037.173339844,"metal","col"
11222,86,7092.029785156,3499.209716797,249.00291,77.50215148926,3592.819824219,"metal","col"
11222,87,6193.557128906,3724.45703125,277.65399,74.94464111328,2469.100097656,"metal","col"
11394,86,866.9295043945,573.2560424805,17.65708,20.52843856812,293.6734313965,"metal","col"
11394,88,658.3828735352,351.2145080566,15.225189,35.34914398193,307.1683654785,"metal","col"
11394,89,700.7653198242,378.2927246094,12.410283,69.93901824951,322.4725952148,"metal","col"
11394,90,783.3123779297,425.1864624023,12.577648,102.7333526611,358.1259155273,"metal","col"
11394,91,179.3689880371,101.2995376587,4.5530705,101.4403305054,78.06945800781,"metal","col"
11407,81,40008,18458.1875,755.14154,1875.103881836,21549.8125,"metal","col"
11407,82,35958.53515625,16655.33398438,696.146,2080.33984375,19303.19921875,"metal","col"
11407,83,34860.48828125,16097.1640625,657.90948,5340.339355469,18763.32421875,"metal","col"
11407,84,39380.65625,19520.578125,613.7605,5732.245605469,19860.078125,"metal","col"
11407,85,44576.15234375,19108.16796875,600.25867,5743.852539063,25467.98632813,"metal","col"
11407,86,47090.30859375,16964.40039063,579.29907,5668.834472656,30125.91015625,"metal","col"
11407,87,51830.4296875,20489.48828125,541.84576,6544.083984375,31340.94140625,"metal","col"
11407,88,56498.625,24031.23828125,505.46396,6481.569335938,32467.38671875,"metal","col"
11407,89,52136.2734375,21365.81835938,487.59659,6227.097167969,30770.453125,"metal","col"
11407,90,57366.79296875,24959.86914063,481.57147,6304.860351563,32406.92578125,"metal","col"
11407,91,52882.01171875,20679.6875,474.3302,6103.759277344,32202.32421875,"metal","col"
11408,81,42637.3984375,26945.23046875,736.06744,13455.74804688,15692.16699219,"metal","col"
11408,82,45151.5546875,26232.73828125,648.29089,13508.11523438,18918.81835938,"metal","col"
11408,83,45120.5390625,23771.3984375,598.09418,14464.82226563,21349.14257813,"metal","col"
11408,84,33492.15625,14709.15039063,377.57724,12960.56152344,18783.00585938,"metal","col"
11408,85,46385.6640625,23753.67382813,532.76398,19570.91015625,22631.98828125,"metal","col"
11408,86,39891.83203125,22446.74609375,497.23859,21429.36132813,17445.0859375,"metal","col"
11408,87,38827.32421875,21657.58984375,505.99481,21157.30859375,17169.73632813,"metal","col"
11408,88,29375.578125,15239.01757813,284.26935,21862.29492188,14136.56054688,"metal","col"
11408,89,38386.2421875,19631.41210938,411.85638,22341.234375,18754.828125,"metal","col"
11408,90,48493.859375,32977.59375,419.35486,20234.11523438,15516.265625,"metal","col"
11408,91,39869.703125,23611.4765625,411.8385,26801.265625,16258.2265625,"metal","col"
11409,81,13030.5,7934.473632813,245.73477,2588.464111328,5096.026367188,"metal","col"
11409,82,8602.283203125,5015.092773438,179.6161,2825.022949219,3587.190673828,"metal","col"
11409,83,11660.90820313,6848.672851563,259.97318,3539.531738281,4812.235839844,"metal","col"
11409,84,13523.06738281,7186.1640625,261.22217,3859.655761719,6336.902832031,"metal","col"
11409,85,15532.00488281,7944.260742188,224.19495,3803.909667969,7587.743652344,"metal","col"
11409,86,14501.78417969,7536.145996094,184.81372,4392.524414063,6965.638183594,"metal","col"
