survey_year,gender,state,sport,schools,participants
2013-14,Boys,Alabama,Baseball,393.0,8822
2013-14,Boys,Alabama,Basketball,409.0,11731
2013-14,Boys,Alaska,Baseball,32.0,698
2013-14,Boys,Alaska,Basketball,143.0,2147
2013-14,Boys,Alaska,Bowling,10.0,84
2013-14,Boys,Alaska,Competitive Spirit Squads,30.0,94
2013-14,Boys,Arizona,Baseball,239.0,8311
2013-14,Boys,Arizona,Basketball,252.0,8159
2013-14,Boys,Arizona,Competitive Spirit Squads,74.0,335
2013-14,Boys,Arkansas,Baseball,253.0,5809
2013-14,Boys,Arkansas,Basketball,272.0,5497
2013-14,Boys,Arkansas,Bowling,61.0,636
2013-14,Boys,Arkansas,Competitive Spirit Squads,25.0,97
2013-14,Boys,California,Baseball,1250.0,43481
2013-14,Boys,California,Basketball,1380.0,44100
2013-14,Boys,California,Bowling,12.0,211
2013-14,Boys,California,Competitive Spirit Squads,83.0,242
2013-14,Boys,Colorado,Baseball,287.0,8153
2013-14,Boys,Colorado,Basketball,330.0,8922
2013-14,Boys,Colorado,Bowling,,190
2013-14,Boys,Colorado,Competitive Spirit Squads,190.0,160
2013-14,Boys,Connecticut,Baseball,175.0,6032
2013-14,Boys,Connecticut,Basketball,183.0,5333
2013-14,Boys,Connecticut,Competitive Spirit Squads,39.0,158
2013-14,Boys,Delaware,Baseball,49.0,1382
2013-14,Boys,Delaware,Basketball,52.0,1552
2013-14,Boys,Delaware,Competitive Spirit Squads,,88
2013-14,Boys,Florida,Baseball,617.0,16110
2013-14,Boys,Florida,Basketball,673.0,16769
2013-14,Boys,Florida,Bowling,170.0,1310
2013-14,Boys,Florida,Competitive Spirit Squads,,235
2013-14,Boys,Georgia,Baseball,421.0,12895
2013-14,Boys,Georgia,Basketball,433.0,12262
2013-14,Boys,Georgia,Competitive Spirit Squads,35.0,102
2013-14,Boys,Hawaii,Baseball,53.0,1712
2013-14,Boys,Hawaii,Basketball,63.0,1759
2013-14,Boys,Hawaii,Bowling,52.0,567
2013-14,Boys,Hawaii,Competitive Spirit Squads,8.0,42
2013-14,Boys,Idaho,Baseball,95.0,2423
2013-14,Boys,Idaho,Basketball,155.0,3821
2013-14,Boys,Idaho,Competitive Spirit Squads,37.0,121
2013-14,Boys,Illinois,Baseball,660.0,23170
2013-14,Boys,Illinois,Basketball,737.0,24500
2013-14,Boys,Illinois,Bowling,187.0,2605
2013-14,Boys,Indiana,Baseball,388.0,10996
2013-14,Boys,Indiana,Basketball,403.0,11124
2013-14,Boys,Iowa,Baseball,347.0,10596
2013-14,Boys,Iowa,Basketball,366.0,11250
2013-14,Boys,Iowa,Bowling,116.0,1612
2013-14,Boys,Kansas,Baseball,234.0,6216
2013-14,Boys,Kansas,Basketball,354.0,8898
2013-14,Boys,Kansas,Bowling,73.0,937
2013-14,Boys,Kentucky,Baseball,261.0,7354
2013-14,Boys,Kentucky,Basketball,270.0,6716
2013-14,Boys,Kentucky,Bowling,90.0,1011
2013-14,Boys,Kentucky,Competitive Spirit Squads,,207
2013-14,Boys,Louisiana,Baseball,341.0,8473
2013-14,Boys,Louisiana,Basketball,374.0,7936
2013-14,Boys,Louisiana,Bowling,74.0,556
2013-14,Boys,Maine,Baseball,131.0,3340
2013-14,Boys,Maine,Basketball,140.0,3627
2013-14,Boys,Maine,Bowling,7.0,66
2013-14,Boys,Maine,Competitive Spirit Squads,18.0,23
2013-14,Boys,Maryland,Baseball,190.0,5635
2013-14,Boys,Maryland,Basketball,198.0,5641
2013-14,Boys,Maryland,Bowling,4.0,30
2013-14,Boys,Massachusetts,Baseball,353.0,13291
2013-14,Boys,Massachusetts,Basketball,362.0,12748
2013-14,Boys,Michigan,Baseball,630.0,18220
2013-14,Boys,Michigan,Basketball,727.0,21504
2013-14,Boys,Michigan,Bowling,341.0,3573
2013-14,Boys,Minnesota,Baseball,430.0,13475
2013-14,Boys,Minnesota,Basketball,472.0,13282
2013-14,Boys,Mississippi,Baseball,246.0,7250
2013-14,Boys,Mississippi,Basketball,259.0,8450
2013-14,Boys,Mississippi,Bowling,51.0,410
2013-14,Boys,Mississippi,Competitive Spirit Squads,20.0,125
2013-14,Boys,Missouri,Baseball,606.0,15417
2013-14,Boys,Missouri,Basketball,567.0,14145
2013-14,Boys,Missouri,Bowling,6.0,17
2013-14,Boys,Montana,Baseball,,175
2013-14,Boys,Montana,Basketball,175.0,3554
2013-14,Boys,Nebraska,Baseball,73.0,2297
2013-14,Boys,Nebraska,Basketball,303.0,7409
2013-14,Boys,Nevada,Baseball,90.0,2387
2013-14,Boys,Nevada,Basketball,98.0,3056
2013-14,Boys,Nevada,Bowling,34.0,292
2013-14,Boys,New Hampshire,Baseball,85.0,2483
2013-14,Boys,New Hampshire,Basketball,86.0,2493
2013-14,Boys,New Hampshire,Bowling,14.0,136
2013-14,Boys,New Hampshire,Competitive Spirit Squads,76.0,33
2013-14,Boys,New Jersey,Baseball,394.0,16277
2013-14,Boys,New Jersey,Basketball,407.0,14816
2013-14,Boys,New Jersey,Bowling,235.0,2918
2013-14,Boys,New Mexico,Baseball,107.0,3119
2013-14,Boys,New Mexico,Basketball,156.0,4234
2013-14,Boys,New Mexico,Bowling,23.0,217
2013-14,Boys,New Mexico,Competitive Spirit Squads,156.0,143
2013-14,Boys,New York,Baseball,723.0,20773
2013-14,Boys,New York,Basketball,759.0,20514
2013-14,Boys,New York,Bowling,383.0,4569
2013-14,Boys,New York,Competitive Spirit Squads,,72
2013-14,Boys,North Carolina,Baseball,386.0,12555
2013-14,Boys,North Carolina,Basketball,398.0,10694
2013-14,Boys,North Dakota,Baseball,111.0,1622
2013-14,Boys,North Dakota,Basketball,162.0,2915
2013-14,Boys,Ohio,Baseball,776.0,21020
2013-14,Boys,Ohio,Basketball,98.0,21898
2013-14,Boys,Ohio,Bowling,353.0,3459
2013-14,Boys,Ohio,Competitive Spirit Squads,16.0,250
2013-14,Boys,Oklahoma,Baseball,360.0,9450
2013-14,Boys,Oklahoma,Basketball,479.0,10391
2013-14,Boys,Oklahoma,Competitive Spirit Squads,25.0,120
2013-14,Boys,Oregon,Baseball,232.0,6026
2013-14,Boys,Oregon,Basketball,285.0,7493
2013-14,Boys,Pennsylvania,Baseball,664.0,21248
2013-14,Boys,Pennsylvania,Basketball,731.0,21930
2013-14,Boys,Pennsylvania,Bowling,138.0,1380
2013-14,Boys,Rhode Island,Baseball,47.0,1453
2013-14,Boys,Rhode Island,Basketball,47.0,1446
2013-14,Boys,Rhode Island,Competitive Spirit Squads,,12
2013-14,Boys,South Carolina,Baseball,203.0,6713
2013-14,Boys,South Carolina,Basketball,207.0,6802
2013-14,Boys,South Dakota,Baseball,,173
2013-14,Boys,South Dakota,Basketball,173.0,3557
2013-14,Boys,Tennessee,Baseball,362.0,8881
2013-14,Boys,Tennessee,Basketball,379.0,8956
2013-14,Boys,Tennessee,Bowling,147.0,1479
2013-14,Boys,Texas,Baseball,1129.0,47554
2013-14,Boys,Texas,Basketball,1307.0,71477
2013-14,Boys,Utah,Baseball,118.0,3293
2013-14,Boys,Utah,Basketball,132.0,3595
2013-14,Boys,Vermont,Baseball,46.0,1133
2013-14,Boys,Vermont,Basketball,48.0,1377
2013-14,Boys,Vermont,Bowling,8.0,46
2013-14,Boys,Vermont,Competitive Spirit Squads,2.0,14
2013-14,Boys,Virginia,Baseball,308.0,9362
2013-14,Boys,Virginia,Basketball,308.0,9325
2013-14,Boys,Virginia,Competitive Spirit Squads,72.0,117
2013-14,Boys,Washington,Baseball,320.0,9247
2013-14,Boys,Washington,Basketball,366.0,11062
2013-14,Boys,West Virginia,Baseball,124.0,2790
2013-14,Boys,West Virginia,Basketball,185.0,3067
2013-14,Boys,West Virginia,Competitive Spirit Squads,3.0,3
2013-14,Boys,Wisconsin,Baseball,437.0,13161
2013-14,Boys,Wisconsin,Basketball,478.0,14606
2013-14,Boys,Wyoming,Basketball,70.0,1786
2013-14,Boys,Alabama,Cross Country,223.0,1449
2013-14,Boys,Alabama,Football 11-player,389.0,22841
2013-14,Boys,Alabama,Golf,278.0,1484
2013-14,Boys,Alaska,Cross Country,111.0,1141
2013-14,Boys,Alaska,Football 11-player,32.0,1950
2013-14,Boys,Arizona,Cross Country,217.0,3616
2013-14,Boys,Arizona,Football 11-player,202.0,20019
2013-14,Boys,Arizona,Golf,199.0,1801
2013-14,Boys,Arkansas,Cross Country,138.0,1526
2013-14,Boys,Arkansas,Football 11-player,203.0,10977
2013-14,Boys,Arkansas,Golf,197.0,1409
2013-14,Boys,California,Cross Country,1180.0,29990
2013-14,Boys,California,Football 11-player,1049.0,103474
2013-14,Boys,California,Golf,970.0,10990
2013-14,Boys,California,Gymnastics,8.0,36
2013-14,Boys,Colorado,Cross Country,234.0,4131
2013-14,Boys,Colorado,Football 11-player,216.0,15357
2013-14,Boys,Colorado,Golf,190.0,2215
2013-14,Boys,Connecticut,Cross Country,178.0,3945
2013-14,Boys,Connecticut,Football 11-player,146.0,10158
2013-14,Boys,Connecticut,Golf,91.0,1700
2013-14,Boys,Delaware,Cross Country,47.0,1005
2013-14,Boys,Delaware,Football 11-player,45.0,3019
2013-14,Boys,Delaware,Golf,47.0,419
2013-14,Boys,Florida,Cross Country,566.0,7673
2013-14,Boys,Florida,Football 11-player,556.0,40606
2013-14,Boys,Florida,Golf,506.0,4000
2013-14,Boys,Georgia,Cross Country,400.0,7692
2013-14,Boys,Georgia,Football 11-player,414.0,32979
2013-14,Boys,Georgia,Golf,390.0,3403
2013-14,Boys,Hawaii,Cross Country,72.0,1146
2013-14,Boys,Hawaii,Football 11-player,48.0,4258
2013-14,Boys,Hawaii,Golf,58.0,506
2013-14,Boys,Idaho,Cross Country,105.0,1605
2013-14,Boys,Idaho,Football 11-player,103.0,7141
2013-14,Boys,Idaho,Golf,89.0,967
2013-14,Boys,Illinois,Cross Country,505.0,11229
2013-14,Boys,Illinois,Football 11-player,557.0,47068
2013-14,Boys,Illinois,Golf,514.0,7893
2013-14,Boys,Illinois,Gymnastics,50.0,1478
2013-14,Boys,Indiana,Cross Country,379.0,5068
2013-14,Boys,Indiana,Football 11-player,322.0,21760
2013-14,Boys,Indiana,Golf,366.0,4124
2013-14,Boys,Iowa,Cross Country,319.0,5158
2013-14,Boys,Iowa,Football 11-player,278.0,18846
2013-14,Boys,Iowa,Golf,337.0,5508
2013-14,Boys,Kansas,Cross Country,252.0,3847
2013-14,Boys,Kansas,Football 11-player,236.0,13959
2013-14,Boys,Kansas,Golf,233.0,2798
2013-14,Boys,Kentucky,Cross Country,241.0,3090
2013-14,Boys,Kentucky,Football 11-player,221.0,13788
2013-14,Boys,Kentucky,Golf,238.0,2354
2013-14,Boys,Louisiana,Cross Country,284.0,2682
2013-14,Boys,Louisiana,Football 11-player,299.0,20087
2013-14,Boys,Louisiana,Golf,222.0,1157
2013-14,Boys,Louisiana,Gymnastics,29.0,38
2013-14,Boys,Maine,Cross Country,102.0,1285
2013-14,Boys,Maine,Football 11-player,82.0,3768
2013-14,Boys,Maine,Golf,107.0,1133
2013-14,Boys,Maryland,Cross Country,186.0,3827
2013-14,Boys,Maryland,Football 11-player,186.0,14373
2013-14,Boys,Maryland,Golf,166.0,1356
2013-14,Boys,Massachusetts,Cross Country,328.0,6722
2013-14,Boys,Massachusetts,Football 11-player,328.0,20113
2013-14,Boys,Massachusetts,Golf,292.0,4482
2013-14,Boys,Massachusetts,Gymnastics,9.0,264
2013-14,Boys,Michigan,Cross Country,591.0,8882
2013-14,Boys,Michigan,Football 11-player,596.0,39963
2013-14,Boys,Michigan,Golf,515.0,6768
2013-14,Boys,Minnesota,Cross Country,354.0,7079
2013-14,Boys,Minnesota,Football 11-player,351.0,23582
2013-14,Boys,Minnesota,Golf,377.0,5526
2013-14,Boys,Mississippi,Cross Country,150.0,1600
2013-14,Boys,Mississippi,Football 11-player,245.0,22300
2013-14,Boys,Mississippi,Golf,155.0,2010
2013-14,Boys,Missouri,Cross Country,381.0,5687
2013-14,Boys,Missouri,Football 11-player,356.0,23257
2013-14,Boys,Missouri,Golf,346.0,4130
2013-14,Boys,Montana,Cross Country,101.0,1047
2013-14,Boys,Montana,Football 11-player,84.0,4376
2013-14,Boys,Montana,Golf,97.0,1011
2013-14,Boys,Nebraska,Cross Country,223.0,2839
2013-14,Boys,Nebraska,Football 11-player,190.0,9984
2013-14,Boys,Nebraska,Golf,243.0,2592
2013-14,Boys,Nevada,Cross Country,81.0,1070
2013-14,Boys,Nevada,Football 11-player,74.0,6580
2013-14,Boys,Nevada,Golf,78.0,743
2013-14,Boys,New Hampshire,Cross Country,75.0,1207
2013-14,Boys,New Hampshire,Football 11-player,57.0,3547
2013-14,Boys,New Hampshire,Golf,69.0,844
2013-14,Boys,New Jersey,Cross Country,374.0,8395
2013-14,Boys,New Jersey,Football 11-player,354.0,26138
2013-14,Boys,New Jersey,Golf,300.0,4090
2013-14,Boys,New Mexico,Cross Country,105.0,1598
2013-14,Boys,New Mexico,Football 11-player,127.0,7293
2013-14,Boys,New Mexico,Golf,71.0,726
2013-14,Boys,New York,Cross Country,567.0,10261
2013-14,Boys,New York,Football 11-player,572.0,35552
2013-14,Boys,New York,Golf,572.0,7855
2013-14,Boys,New York,Gymnastics,7.0,9
2013-14,Boys,North Carolina,Cross Country,374.0,8969
2013-14,Boys,North Carolina,Football 11-player,382.0,36273
2013-14,Boys,North Carolina,Golf,367.0,3420
2013-14,Boys,North Dakota,Cross Country,70.0,554
2013-14,Boys,North Dakota,Football 11-player,93.0,3199
2013-14,Boys,North Dakota,Golf,112.0,888
2013-14,Boys,Ohio,Cross Country,730.0,9289
2013-14,Boys,Ohio,Football 11-player,715.0,44431
2013-14,Boys,Ohio,Golf,713.0,8138
2013-14,Boys,Ohio,Gymnastics,6.0,86
2013-14,Boys,Oklahoma,Cross Country,249.0,3044
2013-14,Boys,Oklahoma,Football 11-player,274.0,14615
2013-14,Boys,Oklahoma,Golf,245.0,2034
2013-14,Boys,Oregon,Cross Country,223.0,3618
2013-14,Boys,Oregon,Football 11-player,204.0,13212
2013-14,Boys,Oregon,Golf,176.0,1600
2013-14,Boys,Pennsylvania,Cross Country,559.0,11180
2013-14,Boys,Pennsylvania,Football 11-player,580.0,26100
2013-14,Boys,Pennsylvania,Golf,523.0,5230
2013-14,Boys,Rhode Island,Cross Country,44.0,997
2013-14,Boys,Rhode Island,Football 11-player,45.0,3069
2013-14,Boys,Rhode Island,Golf,40.0,461
2013-14,Boys,South Carolina,Cross Country,149.0,3146
2013-14,Boys,South Carolina,Football 11-player,201.0,19543
2013-14,Boys,South Carolina,Golf,157.0,1738
2013-14,Boys,South Dakota,Cross Country,133.0,960
2013-14,Boys,South Dakota,Football 11-player,63.0,3399
2013-14,Boys,South Dakota,Golf,135.0,1030
2013-14,Boys,Tennessee,Cross Country,297.0,4096
2013-14,Boys,Tennessee,Football 11-player,349.0,23003
2013-14,Boys,Tennessee,Golf,317.0,2592
2013-14,Boys,Texas,Cross Country,1269.0,24143
2013-14,Boys,Texas,Football 11-player,1061.0,164554
2013-14,Boys,Texas,Golf,1176.0,14066
2013-14,Boys,Utah,Cross Country,123.0,2667
2013-14,Boys,Utah,Football 11-player,103.0,8638
2013-14,Boys,Utah,Golf,116.0,1519
2013-14,Boys,Vermont,Cross Country,42.0,603
2013-14,Boys,Vermont,Football 11-player,26.0,1332
2013-14,Boys,Vermont,Golf,36.0,332
2013-14,Boys,Vermont,Gymnastics,2.0,4
2013-14,Boys,Virginia,Cross Country,293.0,6180
2013-14,Boys,Virginia,Football 11-player,304.0,24954
2013-14,Boys,Virginia,Golf,283.0,2780
2013-14,Boys,Washington,Cross Country,307.0,6687
2013-14,Boys,Washington,Football 11-player,291.0,21036
2013-14,Boys,Washington,Golf,271.0,3124
2013-14,Boys,West Virginia,Cross Country,97.0,936
2013-14,Boys,West Virginia,Football 11-player,149.0,6198
2013-14,Boys,West Virginia,Golf,107.0,995
2013-14,Boys,Wisconsin,Cross Country,393.0,7061
2013-14,Boys,Wisconsin,Football 11-player,442.0,26680
2013-14,Boys,Wisconsin,Golf,361.0,6105
2013-14,Boys,Wyoming,Cross Country,41.0,533
2013-14,Boys,Wyoming,Football 11-player,50.0,2596
2013-14,Boys,Wyoming,Golf,39.0,505
2013-14,Boys,Alaska,Ice Hockey,26.0,602
2013-14,Boys,Alaska,Lacrosse,,16
2013-14,Boys,Alaska,Riflery,16.0,183
2013-14,Boys,Alaska,Skiing Cross Country,26.0,461
2013-14,Boys,Arkansas,Lacrosse,1.0,24
2013-14,Boys,Arkansas,Riflery,11.0,145
2013-14,Boys,California,Ice Hockey,25.0,395
2013-14,Boys,California,Lacrosse,216.0,9091
2013-14,Boys,California,Riflery,4.0,20
2013-14,Boys,California,Skiing Cross Country,4.0,13
2013-14,Boys,Colorado,Ice Hockey,30.0,621
2013-14,Boys,Colorado,Lacrosse,69.0,3615
2013-14,Boys,Colorado,Skiing Cross Country,14.0,109
2013-14,Boys,Connecticut,Ice Hockey,59.0,1541
2013-14,Boys,Connecticut,Lacrosse,95.0,4615
2013-14,Boys,Delaware,Lacrosse,45.0,1617
2013-14,Boys,Delaware,Ice Hockey,,134
2013-14,Boys,Delaware,Riflery,,8
2013-14,Boys,Florida,Ice Hockey,,169
2013-14,Boys,Florida,Lacrosse,169.0,5680
2013-14,Boys,Georgia,Lacrosse,87.0,3639
2013-14,Boys,Georgia,Riflery,112.0,743
2013-14,Boys,Illinois,Lacrosse,86.0,605
2013-14,Boys,Kentucky,Lacrosse,17.0,583
2013-14,Boys,Maine,Ice Hockey,61.0,1164
2013-14,Boys,Maine,Lacrosse,49.0,1841
2013-14,Boys,Maine,Riflery,1.0,11
2013-14,Boys,Maine,Skiing Cross Country,40.0,322
2013-14,Boys,Maryland,Ice Hockey,1.0,20
2013-14,Boys,Maryland,Lacrosse,149.0,6406
2013-14,Boys,Massachusetts,Ice Hockey,298.0,7359
2013-14,Boys,Massachusetts,Lacrosse,227.0,9422
2013-14,Boys,Massachusetts,Skiing Cross Country,21.0,276
2013-14,Boys,Michigan,Ice Hockey,219.0,3564
2013-14,Boys,Michigan,Lacrosse,125.0,5089
2013-14,Boys,Michigan,Riflery,7.0,88
2013-14,Boys,Michigan,Skiing Cross Country,2.0,39
2013-14,Boys,Minnesota,Ice Hockey,274.0,5718
2013-14,Boys,Minnesota,Lacrosse,84.0,3223
2013-14,Boys,Minnesota,Riflery,,113
2013-14,Boys,Minnesota,Skiing Cross Country,113.0,1966
2013-14,Boys,New Hampshire,Ice Hockey,42.0,1026
2013-14,Boys,New Hampshire,Lacrosse,41.0,2118
2013-14,Boys,New Hampshire,Skiing Cross Country,30.0,283
2013-14,Boys,New Jersey,Ice Hockey,137.0,3887
2013-14,Boys,New Jersey,Lacrosse,190.0,11919
2013-14,Boys,New Jersey,Skiing Cross Country,48.0,198
2013-14,Boys,New York,Ice Hockey,150.0,3238
2013-14,Boys,New York,Lacrosse,328.0,16169
2013-14,Boys,New York,Riflery,19.0,276
2013-14,Boys,New York,Skiing Cross Country,35.0,395
2013-14,Boys,North Carolina,Lacrosse,96.0,2880
2013-14,Boys,North Dakota,Ice Hockey,34.0,606
2013-14,Boys,Ohio,Ice Hockey,82.0,1784
2013-14,Boys,Ohio,Lacrosse,93.0,4108
2013-14,Boys,Ohio,Riflery,2.0,23
2013-14,Boys,Pennsylvania,Ice Hockey,,187
2013-14,Boys,Pennsylvania,Lacrosse,187.0,5984
2013-14,Boys,Pennsylvania,Riflery,49.0,490
2013-14,Boys,Rhode Island,Ice Hockey,30.0,777
2013-14,Boys,Rhode Island,Lacrosse,31.0,1039
2013-14,Boys,South Carolina,Lacrosse,36.0,1588
2013-14,Boys,Vermont,Ice Hockey,27.0,419
2013-14,Boys,Vermont,Lacrosse,28.0,992
2013-14,Boys,Vermont,Riflery,1.0,13
2013-14,Boys,Vermont,Skiing Cross Country,21.0,273
2013-14,Boys,Virginia,Lacrosse,86.0,4067
2013-14,Boys,Wisconsin,Ice Hockey,90.0,2538
2013-14,Boys,Wyoming,Skiing Cross Country,7.0,71
2013-14,Boys,Wyoming,Lacrosse,,59
2013-14,Boys,Alabama,Skiing Alpine,,152
2013-14,Boys,Alabama,Soccer,152.0,3806
2013-14,Boys,Alabama,Swimming and Diving,42.0,308
2013-14,Boys,Alabama,Tennis,166.0,1709
2013-14,Boys,Alaska,Skiing Alpine,,35
2013-14,Boys,Alaska,Soccer,35.0,1015
2013-14,Boys,Alaska,Swimming and Diving,33.0,462
2013-14,Boys,Alaska,Tennis,15.0,217
2013-14,Boys,Arizona,Skiing Alpine,,194
2013-14,Boys,Arizona,Soccer,194.0,7090
2013-14,Boys,Arizona,Swimming and Diving,153.0,2923
2013-14,Boys,Arizona,Tennis,165.0,2297
2013-14,Boys,Arkansas,Skiing Alpine,,90
2013-14,Boys,Arkansas,Soccer,90.0,2381
2013-14,Boys,Arkansas,Swimming and Diving,35.0,381
2013-14,Boys,Arkansas,Tennis,108.0,961
2013-14,Boys,California,Skiing Alpine,32.0,244
2013-14,Boys,California,Soccer,1256.0,48560
2013-14,Boys,California,Swimming and Diving,861.0,23075
2013-14,Boys,California,Tennis,955.0,18931
2013-14,Boys,Colorado,Skiing Alpine,14.0,128
2013-14,Boys,Colorado,Soccer,196.0,7251
2013-14,Boys,Colorado,Swimming and Diving,90.0,2071
2013-14,Boys,Colorado,Tennis,124.0,2876
2013-14,Boys,Connecticut,Skiing Alpine,,177
2013-14,Boys,Connecticut,Soccer,177.0,6935
2013-14,Boys,Connecticut,Swimming and Diving,103.0,1987
2013-14,Boys,Connecticut,Tennis,138.0,2367
2013-14,Boys,Delaware,Skiing Alpine,,50
2013-14,Boys,Delaware,Soccer,50.0,1887
2013-14,Boys,Delaware,Swimming and Diving,37.0,636
2013-14,Boys,Delaware,Tennis,35.0,509
