survey_year,gender,state,sport,schools,participants
2009-10,Girls,Alabama,Basketball,408.0,5478.0
2009-10,Girls,Alabama,Competitive Spirit Squads,,177.0
2009-10,Girls,Alabama,Cross Country,177.0,1166.0
2009-10,Girls,Alaska,Basketball,122.0,1667.0
2009-10,Girls,Alaska,Bowling,8.0,90.0
2009-10,Girls,Alaska,Competitive Spirit Squads,30.0,727.0
2009-10,Girls,Alaska,Cross Country,99.0,834.0
2009-10,Girls,Arizona,Basketball,242.0,6955.0
2009-10,Girls,Arizona,Bowling,,180.0
2009-10,Girls,Arizona,Competitive Spirit Squads,180.0,5843.0
2009-10,Girls,Arizona,Cross Country,192.0,2710.0
2009-10,Girls,Arkansas,Basketball,271.0,4633.0
2009-10,Girls,Arkansas,Bowling,58.0,586.0
2009-10,Girls,Arkansas,Competitive Spirit Squads,100.0,1902.0
2009-10,Girls,Arkansas,Cross Country,111.0,974.0
2009-10,Girls,California,Basketball,1245.0,32980.0
2009-10,Girls,California,Bowling,9.0,78.0
2009-10,Girls,California,Competitive Spirit Squads,997.0,1034.0
2009-10,Girls,California,Cross Country,1034.0,21901.0
2009-10,Girls,Colorado,Basketball,325.0,6934.0
2009-10,Girls,Colorado,Bowling,,335.0
2009-10,Girls,Colorado,Competitive Spirit Squads,335.0,3867.0
2009-10,Girls,Colorado,Cross Country,221.0,3293.0
2009-10,Girls,Connecticut,Basketball,176.0,4044.0
2009-10,Girls,Connecticut,Bowling,,155.0
2009-10,Girls,Connecticut,Competitive Spirit Squads,155.0,2247.0
2009-10,Girls,Connecticut,Cross Country,170.0,2740.0
2009-10,Girls,Delaware,Basketball,51.0,1061.0
2009-10,Girls,Delaware,Bowling,,31.0
2009-10,Girls,Delaware,Competitive Spirit Squads,31.0,538.0
2009-10,Girls,Delaware,Cross Country,45.0,644.0
2009-10,Girls,Florida,Basketball,598.0,10304.0
2009-10,Girls,Florida,Bowling,146.0,1145.0
2009-10,Girls,Florida,Competitive Spirit Squads,209.0,5226.0
2009-10,Girls,Florida,Cross Country,520.0,6596.0
2009-10,Girls,Georgia,Basketball,409.0,9154.0
2009-10,Girls,Georgia,Bowling,,240.0
2009-10,Girls,Georgia,Competitive Spirit Squads,240.0,5369.0
2009-10,Girls,Georgia,Cross Country,373.0,5119.0
2009-10,Girls,Hawaii,Basketball,65.0,1237.0
2009-10,Girls,Hawaii,Bowling,57.0,532.0
2009-10,Girls,Hawaii,Competitive Spirit Squads,41.0,758.0
2009-10,Girls,Hawaii,Cross Country,73.0,1010.0
2009-10,Girls,Idaho,Basketball,144.0,3378.0
2009-10,Girls,Idaho,Bowling,,85.0
2009-10,Girls,Idaho,Competitive Spirit Squads,85.0,1361.0
2009-10,Girls,Idaho,Cross Country,103.0,1259.0
2009-10,Girls,Illinois,Basketball,697.0,17584.0
2009-10,Girls,Illinois,Bowling,240.0,3485.0
2009-10,Girls,Illinois,Competitive Spirit Squads,315.0,7964.0
2009-10,Girls,Illinois,Cross Country,534.0,9752.0
2009-10,Girls,Indiana,Basketball,397.0,9017.0
2009-10,Girls,Indiana,Competitive Spirit Squads,,379.0
2009-10,Girls,Indiana,Cross Country,379.0,4281.0
2009-10,Girls,Iowa,Basketball,380.0,8566.0
2009-10,Girls,Iowa,Bowling,86.0,1130.0
2009-10,Girls,Iowa,Competitive Spirit Squads,,316.0
2009-10,Girls,Iowa,Cross Country,316.0,4338.0
2009-10,Girls,Kansas,Basketball,349.0,7130.0
2009-10,Girls,Kansas,Bowling,59.0,840.0
2009-10,Girls,Kansas,Competitive Spirit Squads,,237.0
2009-10,Girls,Kansas,Cross Country,237.0,2827.0
2009-10,Girls,Kentucky,Basketball,264.0,5852.0
2009-10,Girls,Kentucky,Bowling,53.0,791.0
2009-10,Girls,Kentucky,Competitive Spirit Squads,248.0,4828.0
2009-10,Girls,Kentucky,Cross Country,222.0,2175.0
2009-10,Girls,Louisiana,Basketball,365.0,5541.0
2009-10,Girls,Louisiana,Bowling,52.0,232.0
2009-10,Girls,Louisiana,Competitive Spirit Squads,,263.0
2009-10,Girls,Louisiana,Cross Country,263.0,2741.0
2009-10,Girls,Maine,Basketball,143.0,3203.0
2009-10,Girls,Maine,Bowling,3.0,5.0
2009-10,Girls,Maine,Competitive Spirit Squads,96.0,1803.0
2009-10,Girls,Maine,Cross Country,99.0,1040.0
2009-10,Girls,Maryland,Basketball,191.0,4707.0
2009-10,Girls,Maryland,Bowling,26.0,95.0
2009-10,Girls,Maryland,Competitive Spirit Squads,,183.0
2009-10,Girls,Maryland,Cross Country,183.0,2585.0
2009-10,Girls,Massachusetts,Basketball,362.0,10047.0
2009-10,Girls,Massachusetts,Competitive Spirit Squads,,317.0
2009-10,Girls,Massachusetts,Cross Country,317.0,5111.0
2009-10,Girls,Michigan,Basketball,702.0,17580.0
2009-10,Girls,Michigan,Bowling,311.0,2887.0
2009-10,Girls,Michigan,Competitive Spirit Squads,332.0,7528.0
2009-10,Girls,Michigan,Cross Country,605.0,7925.0
2009-10,Girls,Minnesota,Basketball,463.0,11643.0
2009-10,Girls,Minnesota,Competitive Spirit Squads,,326.0
2009-10,Girls,Minnesota,Cross Country,326.0,5052.0
2009-10,Girls,Mississippi,Basketball,261.0,6926.0
2009-10,Girls,Mississippi,Bowling,48.0,341.0
2009-10,Girls,Mississippi,Competitive Spirit Squads,152.0,2740.0
2009-10,Girls,Mississippi,Cross Country,155.0,1401.0
2009-10,Girls,Missouri,Basketball,557.0,10695.0
2009-10,Girls,Missouri,Competitive Spirit Squads,,345.0
2009-10,Girls,Missouri,Cross Country,345.0,3703.0
2009-10,Girls,Montana,Basketball,175.0,3193.0
2009-10,Girls,Montana,Competitive Spirit Squads,,83.0
2009-10,Girls,Montana,Cross Country,83.0,848.0
2009-10,Girls,Nebraska,Basketball,309.0,6535.0
2009-10,Girls,Nebraska,Competitive Spirit Squads,,198.0
2009-10,Girls,Nebraska,Cross Country,198.0,2028.0
2009-10,Girls,Nevada,Basketball,100.0,2556.0
2009-10,Girls,Nevada,Bowling,33.0,266.0
2009-10,Girls,Nevada,Competitive Spirit Squads,,78.0
2009-10,Girls,Nevada,Cross Country,78.0,784.0
2009-10,Girls,New Hampshire,Basketball,88.0,3194.0
2009-10,Girls,New Hampshire,Bowling,10.0,43.0
2009-10,Girls,New Hampshire,Competitive Spirit Squads,65.0,1727.0
