survey_year,gender,state,sport,schools,participants
1993-94,Girls,Alaska,Competitive Spirit Squads,85.0,700.0
1993-94,Girls,Arizona,Competitive Spirit Squads,,421.0
1993-94,Girls,Arkansas,Competitive Spirit Squads,74.0,
1993-94,Girls,California,Competitive Spirit Squads,,1639.0
1993-94,Girls,Colorado,Basketball,103.0,1844.0
1993-94,Girls,Colorado,Competitive Spirit Squads,147.0,
1993-94,Girls,Connecticut,Basketball,,54.0
1993-94,Girls,Connecticut,Competitive Spirit Squads,31.0,409.0
1993-94,Girls,District of Columbia,Basketball,14.0,150.0
1993-94,Girls,District of Columbia,Competitive Spirit Squads,,88.0
1993-94,Girls,Georgia,Basketball,61.0,732.0
1993-94,Girls,Kentucky,Basketball,253.0,4961.0
1993-94,Girls,Louisiana,Basketball,,984.0
1993-94,Girls,Maryland,Basketball,33.0,830.0
1993-94,Girls,Massachusetts,Basketball,173.0,6304.0
1993-94,Girls,Missouri,Basketball,150.0,2550.0
1993-94,Girls,Nevada,Basketball,35.0,749.0
1993-94,Girls,New Mexico,Basketball,65.0,843.0
1993-94,Girls,North Carolina,Basketball,11.0,194.0
1993-94,Girls,Oklahoma,Basketball,130.0,1950.0
1993-94,Girls,South Dakota,Basketball,64.0,768.0
1993-94,Girls,South Dakota,Competitive Spirit Squads,,2060.0
1993-94,Girls,Tennessee,Competitive Spirit Squads,,26053.0
1993-94,Girls,Tennessee,Basketball,85.0,1678.0
1993-94,Girls,Vermont,Basketball,28.0,243.0
1993-94,Girls,Vermont,Competitive Spirit Squads,,295.0
1993-94,Girls,Virginia,Competitive Spirit Squads,,2190.0
1993-94,Girls,West Virginia,Basketball,144.0,2721.0
1993-94,Girls,West Virginia,Competitive Spirit Squads,,455.0
1993-94,Girls,Wyoming,Competitive Spirit Squads,,242.0
1993-94,Girls,Alabama,Gymnastics,21.0,44.0
1993-94,Girls,Alabama,Skiing Cross Country,,141.0
1993-94,Girls,Arizona,Gymnastics,40.0,215.0
1993-94,Girls,Arizona,Skiing Cross Country,16.0,280.0
1993-94,Girls,California,Golf,61.0,2090.0
1993-94,Girls,California,Gymnastics,229.0,487.0
1993-94,Girls,California,Skiing Cross Country,60.0,1464.0
1993-94,Girls,Colorado,Skiing Cross Country,58.0,533.0
1993-94,Girls,Connecticut,Golf,71.0,2712.0
1993-94,Girls,Connecticut,Gymnastics,37.0,123.0
1993-94,Girls,Delaware,Golf,40.0,1399.0
1993-94,Girls,Delaware,Gymnastics,12.0,17.0
1993-94,Girls,Florida,Gymnastics,172.0,1142.0
1993-94,Girls,Georgia,Gymnastics,68.0,131.0
1993-94,Girls,Georgia,Skiing Cross Country,26.0,251.0
1993-94,Girls,Hawaii,Gymnastics,21.0,34.0
1993-94,Girls,Idaho,Gymnastics,201.0,1065.0
1993-94,Girls,Idaho,Skiing Cross Country,102.0,1958.0
1993-94,Girls,Indiana,Gymnastics,187.0,1705.0
1993-94,Girls,Indiana,Skiing Cross Country,94.0,1140.0
1993-94,Girls,Kansas,Gymnastics,60.0,598.0
1993-94,Girls,Kansas,Skiing Cross Country,18.0,236.0
1993-94,Girls,Kansas,Golf,,567.0
1993-94,Girls,Kentucky,Golf,14.0,
1993-94,Girls,Louisiana,Gymnastics,22.0,44.0
1993-94,Girls,Louisiana,Skiing Cross Country,18.0,216.0
1993-94,Girls,Maine,Golf,76.0,3017.0
1993-94,Girls,Maine,Gymnastics,38.0,
1993-94,Girls,Maine,Skiing Cross Country,15.0,166.0
1993-94,Girls,Maryland,Gymnastics,83.0,83.0
1993-94,Girls,Maryland,Skiing Cross Country,28.0,143.0
1993-94,Girls,Maryland,Golf,103.0,3333.0
1993-94,Girls,Massachusetts,Golf,182.0,7621.0
1993-94,Girls,Massachusetts,Gymnastics,51.0,242.0
1993-94,Girls,Massachusetts,Skiing Cross Country,82.0,1216.0
1993-94,Girls,Michigan,Golf,,222.0
1993-94,Girls,Michigan,Gymnastics,166.0,2429.0
1993-94,Girls,Michigan,Skiing Cross Country,73.0,1108.0
1993-94,Girls,Minnesota,Gymnastics,324.0,1983.0
1993-94,Girls,Missouri,Golf,19.0,772.0
1993-94,Girls,Missouri,Gymnastics,60.0,633.0
1993-94,Girls,Montana,Gymnastics,69.0,509.0
1993-94,Girls,Nebraska,Gymnastics,71.0,684.0
1993-94,Girls,Nebraska,Skiing Cross Country,17.0,
1993-94,Girls,Nevada,Gymnastics,28.0,308.0
1993-94,Girls,New Hampshire,Golf,52.0,1847.0
1993-94,Girls,New Hampshire,Gymnastics,12.0,
1993-94,Girls,New Hampshire,Skiing Cross Country,11.0,
1993-94,Girls,New Mexico,Gymnastics,43.0,341.0
1993-94,Girls,New York,Golf,221.0,7488.0
1993-94,Girls,New York,Gymnastics,52.0,328.0
1993-94,Girls,New York,Skiing Cross Country,117.0,
1993-94,Girls,North Dakota,Gymnastics,64.0,501.0
1993-94,Girls,North Dakota,Skiing Cross Country,15.0,
1993-94,Girls,Ohio,Golf,31.0,1159.0
1993-94,Girls,Ohio,Gymnastics,479.0,478.0
1993-94,Girls,Ohio,Skiing Cross Country,111.0,
1993-94,Girls,Oklahoma,Gymnastics,125.0,
1993-94,Girls,Oregon,Gymnastics,120.0,960.0
1993-94,Girls,Pennsylvania,Golf,,8505.0
1993-94,Girls,Pennsylvania,Gymnastics,190.0,7900.0
1993-94,Girls,Pennsylvania,Skiing Cross Country,27.0,
1993-94,Girls,Rhode Island,Golf,19.0,569.0
1993-94,Girls,Rhode Island,Skiing Cross Country,16.0,
1993-94,Girls,South Carolina,Skiing Cross Country,35.0,
1993-94,Girls,South Dakota,Gymnastics,78.0,622.0
1993-94,Girls,Tennessee,Gymnastics,192.0,792.0
1993-94,Girls,Texas,Gymnastics,710.0,
1993-94,Girls,Vermont,Golf,,1113.0
1993-94,Girls,Vermont,Skiing Cross Country,,132.0
1993-94,Girls,Virginia,Golf,,2731.0
1993-94,Girls,Virginia,Skiing Cross Country,75.0,908.0
1993-94,Girls,Washington,Gymnastics,181.0,1529.0
1993-94,Girls,Washington,Skiing Cross Country,,1431.0
1993-94,Girls,Wisconsin,Gymnastics,,707.0
1993-94,Girls,Wisconsin,Skiing Cross Country,123.0,1606.0
1993-94,Girls,Wyoming,Gymnastics,,166.0
1993-94,Girls,Wyoming,Skiing Cross Country,,162.0
1993-94,Girls,Alabama,Soccer,,278.0
1993-94,Girls,Alabama,Softball Slow Pitch,12.0,406.0
1993-94,Girls,Alaska,Soccer,24.0,
1993-94,Girls,Alaska,Softball Slow Pitch,36.0,1185.0
1993-94,Girls,California,Soccer,,91.0
1993-94,Girls,California,Softball Fast Pitch,16.0,203.0
1993-94,Girls,California,Softball Slow Pitch,683.0,20349.0
1993-94,Girls,Colorado,Softball Slow Pitch,132.0,3813.0
1993-94,Girls,Connecticut,Softball Slow Pitch,11.0,247.0
1993-94,Girls,District of Columbia,Softball Fast Pitch,,40.0
1993-94,Girls,District of Columbia,Softball Slow Pitch,252.0,6337.0
1993-94,Girls,Florida,Softball Slow Pitch,149.0,3217.0
