survey_year,year,girls
2009-10,1971-72,294015
2009-10,1972-73,817073
2009-10,1973-74,1300169
2009-10,1975-76,1645039
2009-10,1977-78,2083040
2009-10,1978-79,1854400
2009-10,1979-80,1750264
2009-10,1980-81,1853789
2009-10,1981-82,1810671
2009-10,1982-83,1779972
2009-10,1983-84,1747346
2009-10,1984-85,1757884
2009-10,1985-86,1807121
2009-10,1986-87,1836356
2009-10,1987-88,1849684
2009-10,1988-89,1839352
2009-10,1989-90,1858659
2009-10,1990-91,1892316
2009-10,1991-92,1940801
2009-10,1992-93,1997489
2009-10,1993-94,2130315
2009-10,1994-95,2240461
2009-10,1995-96,2367936
2009-10,1996-97,2474043
2009-10,1997-98,2570333
2009-10,1998-99,2652726
2009-10,1999-00,2675874
2009-10,2000-01,2784154
2009-10,2001-02,2806998
2009-10,2002-03,2856358
2009-10,2003-04,2865299
2009-10,2004-05,2908390
2009-10,2005-06,2953355
2009-10,2006-07,3021807
2009-10,2007-08,3057266
2009-10,2008-09,3114091
2009-10,2009-10,3172637
2010-11,1971-72,294015
2010-11,1972-73,817073
2010-11,1973-74,1300169
2010-11,1975-76,1645039
2010-11,1977-78,2083040
2010-11,1978-79,1854400
2010-11,1979-80,1750264
2010-11,1980-81,1853789
2010-11,1981-82,1810671
2010-11,1982-83,1779972
2010-11,1983-84,1747346
2010-11,1984-85,1757884
2010-11,1985-86,1807121
2010-11,1986-87,1836356
2010-11,1987-88,1849684
2010-11,1988-89,1839352
2010-11,1989-90,1858659
2010-11,1990-91,1892316
2010-11,1991-92,1940801
2010-11,1992-93,1997489
2010-11,1993-94,2130315
2010-11,1994-95,2240461
2010-11,1995-96,2367936
2010-11,1996-97,2474043
2010-11,1997-98,2570333
2010-11,1998-99,2652726
2010-11,1999-00,2675874
2010-11,2000-01,2784154
2010-11,2001-02,2806998
2010-11,2002-03,2856358
2010-11,2003-04,2865299
2010-11,2004-05,2908390
2010-11,2005-06,2953355
2010-11,2006-07,3021807
2010-11,2007-08,3057266
2010-11,2008-09,3114091
2010-11,2009-10,3172637
2010-11,2010-11,3173549
2011-12,1971-72,294015
2011-12,1972-73,817073
2011-12,1973-74,1300169
2011-12,1975-76,1645039
2011-12,1977-78,2083040
2011-12,1978-79,1854400
2011-12,1979-80,1750264
2011-12,1980-81,1853789
2011-12,1981-82,1810671
2011-12,1982-83,1779972
2011-12,1983-84,1747346
2011-12,1984-85,1757884
2011-12,1985-86,1807121
2011-12,1986-87,1836356
2011-12,1987-88,1849684
2011-12,1988-89,1839352
2011-12,1989-90,1858659
2011-12,1990-91,1892316
2011-12,1991-92,1940801
2011-12,1992-93,1997489
2011-12,1993-94,2130315
2011-12,1994-95,2240461
2011-12,1995-96,2367936
2011-12,1996-97,2474043
2011-12,1997-98,2570333
2011-12,1998-99,2652726
2011-12,1999-00,2675874
2011-12,2000-01,2784154
2011-12,2001-02,2806998
2011-12,2002-03,2856358
2011-12,2003-04,2865299
2011-12,2004-05,2908390
2011-12,2005-06,2953355
2011-12,2006-07,3021807
2011-12,2007-08,3057266
2011-12,2008-09,3114091
2011-12,2009-10,3172637
2011-12,2010-11,3173549
2011-12,2011-12,3207533
2012-13,1971-72,294015
2012-13,1972-73,817073
2012-13,1973-74,1300169
2012-13,1975-76,1645039
2012-13,1977-78,2083040
2012-13,1978-79,1854400
2012-13,1979-80,1750264
2012-13,1980-81,1853789
2012-13,1981-82,1810671
2012-13,1982-83,1779972
2012-13,1983-84,1747346
2012-13,1984-85,1757884
2012-13,1985-86,1807121
2012-13,1986-87,1836356
2012-13,1987-88,1849684
2012-13,1988-89,1839352
2012-13,1989-90,1858659
2012-13,1990-91,1892316
2012-13,1991-92,1940801
2012-13,1992-93,1997489
2012-13,1993-94,2130315
2012-13,1994-95,2240461
2012-13,1995-96,2367936
2012-13,1996-97,2474043
2012-13,1997-98,2570333
2012-13,1998-99,2652726
2012-13,1999-00,2675874
2012-13,2000-01,2784154
2012-13,2001-02,2806998
2012-13,2002-03,2856358
2012-13,2003-04,2865299
