RANK,TEAM,W,L,WIN%,CONF,DIV,HOME,ROAD,OT,LAST 10,STREAK,YEAR
1,NEW YORK LIBERTY,17,11,.607,5-3,0-0,10-4,7-7,0-0,3-7,W 1,1997
1,HOUSTON COMETS,18,10,.643,12-4,0-0,9-5,9-5,0-0,7-3,L 2,1997
2,CHARLOTTE STING,15,13,.536,4-4,0-0,12-2,3-11,0-0,5-5,W 1,1997
2,PHOENIX MERCURY,16,12,.571,10-6,0-0,11-3,5-9,0-0,7-3,W 3,1997
3,CLEVELAND ROCKERS,15,13,.536,3-5,0-0,8-6,7-7,0-0,5-5,L 1,1997
3,LOS ANGELES SPARKS,14,14,.500,9-7,0-0,8-6,6-8,0-0,6-4,L 1,1997
4,SACRAMENTO MONARCHS,10,18,.357,5-11,0-0,7-7,3-11,0-0,5-5,W 1,1997
5,UTAH STARZZ,7,21,.250,4-12,0-0,5-9,2-12,0-0,2-8,L 2,1997
1,HOUSTON COMETS,27,3,.900,15-1,0-0,14-1,13-2,0-0,8-2,W 2,1998
1,CLEVELAND ROCKERS,20,10,.667,12-4,0-0,11-4,9-6,0-0,8-2,W 4,1998
2,CHARLOTTE STING,18,12,.600,11-5,0-0,9-6,9-6,0-0,4-6,W 1,1998
2,PHOENIX MERCURY,19,11,.633,10-6,0-0,12-3,7-8,0-0,7-3,W 4,1998
3,LOS ANGELES SPARKS,12,18,.400,6-10,0-0,8-7,4-11,0-0,5-5,L 2,1998
3,NEW YORK LIBERTY,18,12,.600,8-8,0-0,12-3,6-9,0-0,7-3,L 2,1998
4,SACRAMENTO MONARCHS,8,22,.267,5-11,0-0,5-10,3-12,0-0,2-8,L 2,1998
4,DETROIT SHOCK,17,13,.567,8-8,0-0,11-4,6-9,0-0,6-4,W 2,1998
5,WASHINGTON MYSTICS,3,27,.100,1-15,0-0,3-12,0-15,0-0,1-9,L 5,1998
5,UTAH STARZZ,8,22,.267,4-12,0-0,5-10,3-12,0-0,1-9,L 3,1998
1,NEW YORK LIBERTY,18,14,.563,12-8,0-0,12-4,6-10,0-0,6-4,L 1,1999
1,HOUSTON COMETS,26,6,.813,16-4,0-0,15-1,11-5,0-0,8-2,W 1,1999
2,LOS ANGELES SPARKS,20,12,.625,12-8,0-0,13-3,7-9,0-0,4-6,L 1,1999
2,DETROIT SHOCK,15,17,.469,12-8,0-0,7-9,8-8,0-0,5-5,W 2,1999
3,CHARLOTTE STING,15,17,.469,12-8,0-0,8-8,7-9,0-0,3-7,L 5,1999
3,SACRAMENTO MONARCHS,19,13,.594,9-11,0-0,11-5,8-8,0-0,5-5,L 3,1999
4,ORLANDO MIRACLE,15,17,.469,9-11,0-0,8-8,7-9,0-0,6-4,L 1,1999
4,MINNESOTA LYNX,15,17,.469,8-12,0-0,8-8,7-9,0-0,3-7,W 1,1999
5,PHOENIX MERCURY,15,17,.469,7-13,0-0,12-4,3-13,0-0,5-5,L 2,1999
5,WASHINGTON MYSTICS,12,20,.375,10-10,0-0,6-10,6-10,0-0,6-4,L 3,1999
6,UTAH STARZZ,15,17,.469,8-12,0-0,11-5,4-12,0-0,7-3,W 2,1999
6,CLEVELAND ROCKERS,7,25,.219,5-15,0-0,5-11,2-14,0-0,2-8,W 1,1999
1,NEW YORK LIBERTY,20,12,.625,14-7,0-0,12-4,8-8,0-0,7-3,L 1,2000
1,LOS ANGELES SPARKS,28,4,.875,17-4,0-0,15-1,13-3,0-0,9-1,L 1,2000
2,HOUSTON COMETS,27,5,.844,17-4,0-0,14-2,13-3,0-0,8-2,W 5,2000
2,CLEVELAND ROCKERS,17,15,.531,13-8,0-0,13-3,4-12,0-0,4-6,L 2,2000
3,ORLANDO MIRACLE,16,16,.500,13-8,0-0,11-5,5-11,0-0,2-8,L 1,2000
3,SACRAMENTO MONARCHS,21,11,.656,13-8,0-0,13-3,8-8,0-0,8-2,W 1,2000
4,PHOENIX MERCURY,20,12,.625,11-10,0-0,11-5,9-7,0-0,6-4,W 1,2000
4,WASHINGTON MYSTICS,14,18,.438,13-8,0-0,7-9,7-9,0-0,4-6,W 1,2000
5,UTAH STARZZ,18,14,.563,13-8,0-0,12-4,6-10,0-0,6-4,W 2,2000
