year,state,basketball,cross_country,soccer,track_field
1993-94,Alabama,4620.0,395.0,277.0,3037.0
1993-94,Alaska,1786.0,700.0,406.0,731.0
1993-94,Arizona,5294.0,1326.0,1185.0,4062.0
1993-94,Arkansas,6690.0,421.0,,4661.0
1993-94,California,26002.0,11334.0,20349.0,25536.0
1993-94,Colorado,6867.0,1639.0,3980.0,5449.0
1993-94,Connecticut,3722.0,1721.0,3813.0,6504.0
1993-94,Delaware,1048.0,409.0,247.0,1174.0
1993-94,District of Columbia,215.0,88.0,27.0,289.0
1993-94,Florida,8319.0,3596.0,6337.0,8164.0
1993-94,Georgia,8552.0,2340.0,3217.0,7435.0
1993-94,Hawaii,1297.0,368.0,1269.0,667.0
1993-94,Idaho,3733.0,668.0,284.0,2579.0
1993-94,Illinois,14939,4514.0,3798.0,14840.0
1993-94,Indiana,11109.0,3693.0,,9530.0
1993-94,Iowa,10648.0,2174.0,1016.0,9506.0
1993-94,Kansas,8223.0,1699.0,1315.0,6346.0
1993-94,Kentucky,5426.0,1812.0,1981.0,3769.0
1993-94,Louisiana,9400.0,1224.0,570.0,4857.0
1993-94,Maine,3662.0,932.0,3288.0,3166.0
1993-94,Maryland,4089.0,1503.0,3470.0,5521.0
1993-94,Massachusetts,9719.0,3016.0,8159.0,13302.0
1993-94,Michigan,19143.0,5182.0,6711.0,16950.0
1993-94,Minnesota,7222.0,1728.0,2358.0,5621.0
1993-94,Mississippi,4600.0,820.0,620.0,3601.0
1993-94,Missouri,11832.0,2830.0,3268.0,10188.0
1993-94,Montana,3944.0,553.0,259.0,2858.0
1993-94,Nebraska,7397.0,1048.0,1198.0,6257.0
1993-94,Nevada,1930.0,557.0,540.0,1895.0
1993-94,New Hampshire,2390.0,713.0,1834.0,2441.0
1993-94,New Jersey,8646.0,3626.0,8312.0,45410.0
1993-94,New Mexico,3020.0,658.0,826.0,1937.0
1993-94,New York,15605.0,4210.0,18676.0,19335.0
1993-94,North Carolina,7107.0,2121.0,3269.0,8559.0
1993-94,North Dakota,3450.0,273.0,460.0,2085.0
1993-94,Ohio,18182.0,5546.0,7203.0,20301.0
1993-94,Oklahoma,9560.0,910.0,1100.0,3190.0
1993-94,Oregon,6400.0,2640.0,2475.0,7290.0
1993-94,Pennsylvania,18540.0,4220.0,8820.0,17936.0
1993-94,Rhode Island,893.0,616.0,4171.0, 1798.0
