survey_year,gender,state,sport,schools,participants
1996-97,Girls,Alabama,Basketball,366.0,5543.0
1996-97,Girls,Alabama,Competitive Spirit Squads,46.0,
1996-97,Girls,California,Basketball,989.0,27856.0
1996-97,Girls,California,Competitive Spirit Squads,785.0,12193.0
1996-97,Girls,Colorado,Basketball,277.0,7276.0
1996-97,Girls,Colorado,Competitive Spirit Squads,163.0,1985.0
1996-97,Girls,Connecticut,Basketball,170.0,
1996-97,Girls,Connecticut,Competitive Spirit Squads,149.0,
1996-97,Girls,District of Columbia,Basketball,13.0,169.0
1996-97,Girls,District of Columbia,Competitive Spirit Squads,,134.0
1996-97,Girls,Florida,Basketball,473.0,8141.0
1996-97,Girls,Florida,Competitive Spirit Squads,389.0,4295.0
1996-97,Girls,Georgia,Basketball,340.0,8916.0
1996-97,Girls,Georgia,Competitive Spirit Squads,264.0,2983.0
1996-97,Girls,Idaho,Basketball,158.0,4124.0
1996-97,Girls,Idaho,Competitive Spirit Squads,84.0,
1996-97,Girls,Indiana,Basketball,380.0,11873.0
1996-97,Girls,Indiana,Competitive Spirit Squads,349.0,3079.0
1996-97,Girls,Kansas,Basketball,362.0,7216.0
1996-97,Girls,Kansas,Competitive Spirit Squads,235.0,
1996-97,Girls,Louisiana,Basketball,376.0,9400.0
1996-97,Girls,Louisiana,Competitive Spirit Squads,204.0,
1996-97,Girls,Maryland,Basketball,172.0,4480.0
1996-97,Girls,Maryland,Competitive Spirit Squads,156.0,1941.0
1996-97,Girls,Massachusetts,Basketball,327.0,9783.0
1996-97,Girls,Massachusetts,Competitive Spirit Squads,259.0,3547.0
1996-97,Girls,Mississippi,Basketball,261.0,
1996-97,Girls,Mississippi,Competitive Spirit Squads,45.0,950.0
1996-97,Girls,Missouri,Basketball,528.0,13103.0
1996-97,Girls,Missouri,Competitive Spirit Squads,242.0,3466.0
1996-97,Girls,Nebraska,Basketball,334.0,7571.0
1996-97,Girls,Nebraska,Competitive Spirit Squads,,1392.0
1996-97,Girls,New Hampshire,Basketball,85.0,2338.0
1996-97,Girls,New Hampshire,Competitive Spirit Squads,87.0,731.0
1996-97,Girls,South Carolina,Basketball,321.0,7476.0
1996-97,Girls,South Carolina,Competitive Spirit Squads,245.0,
1996-97,Girls,Ohio,Basketball,780.0,19162.0
1996-97,Girls,Ohio,Competitive Spirit Squads,485.0,6705.0
1996-97,Girls,Oregon,Basketball,255.0,
1996-97,Girls,Oregon,Competitive Spirit Squads,176.0,1900.0
1996-97,Girls,Rhode Island,Basketball,45.0,
1996-97,Girls,Rhode Island,Competitive Spirit Squads,37.0,615.0
1996-97,Girls,Utah,Basketball,,2900.0
1996-97,Girls,Utah,Competitive Spirit Squads,91.0,1180.0
1996-97,Girls,Virginia,Basketball,275.0,6861.0
1996-97,Girls,Virginia,Competitive Spirit Squads,238.0,
1996-97,Girls,West Virginia,Basketball,176.0,2776.0
1996-97,Girls,West Virginia,Competitive Spirit Squads,63.0,
1996-97,Girls,Wyoming,Basketball,70.0,1764.0
1996-97,Girls,Wyoming,Competitive Spirit Squads,29.0,
1996-97,Girls,Alaska,Gymnastics,,161.0
1996-97,Girls,Alaska,Golf,47.0,593.0
1996-97,Girls,Alaska,Skiing Cross Country,26.0,275.0
1996-97,Girls,Colorado,Golf,89.0,901.0
1996-97,Girls,Colorado,Gymnastics,67.0,761.0
1996-97,Girls,Colorado,Skiing Cross Country,12.0,92.0
1996-97,Girls,Connecticut,Golf,40.0,172.0
1996-97,Girls,Connecticut,Gymnastics,55.0,507.0
1996-97,Girls,Delaware,Golf,12.0,19.0
1996-97,Girls,Florida,Golf,318.0,1595.0
1996-97,Girls,Florida,Gymnastics,28.0,344.0
1996-97,Girls,Illinois,Golf,260.0,1903.0
1996-97,Girls,Illinois,Gymnastics,95.0,2006.0
1996-97,Girls,Louisiana,Golf,22.0,44.0
1996-97,Girls,Louisiana,Gymnastics,18.0,216.0
1996-97,Girls,Louisiana,Skiing Cross Country,43.0,423.0
1996-97,Girls,Massachusetts,Golf,62.0,285.0
1996-97,Girls,Massachusetts,Gymnastics,83.0,1284.0
1996-97,Girls,Massachusetts,Skiing Cross Country,59.0,
1996-97,Girls,Mississippi,Golf,12.0,65.0
1996-97,Girls,Mississippi,Gymnastics,,36.0
1996-97,Girls,Nebraska,Golf,98.0,
1996-97,Girls,Nebraska,Gymnastics,19.0,205.0
1996-97,Girls,Nebraska,Skiing Cross Country,14.0,303.0
1996-97,Girls,New Hampshire,Golf,22.0,50.0
1996-97,Girls,New Hampshire,Gymnastics,19.0,161.0
1996-97,Girls,New Hampshire,Skiing Cross Country,49.0,408.0
1996-97,Girls,New Jersey,Golf,12.0,277.0
1996-97,Girls,New Jersey,Gymnastics,75.0,1018.0
1996-97,Girls,New Jersey,Skiing Cross Country,,132.0
1996-97,Girls,New Mexico,Golf,56.0,240.0
1996-97,Girls,New Mexico,Gymnastics,114.0,1763.0
1996-97,Girls,New Mexico,Skiing Cross Country,,208.0
1996-97,Girls,Rhode Island,Golf,,20.0
1996-97,Girls,Rhode Island,Gymnastics,15.0,159.0
1996-97,Girls,South Carolina,Golf,15.0,94.0
1996-97,Girls,South Dakota,Golf,74.0,658.0
1996-97,Girls,South Dakota,Gymnastics,35.0,388.0
1996-97,Girls,Vermont,Gymnastics,,129.0
1996-97,Girls,Vermont,Skiing Cross Country,24.0,207.0
1996-97,Girls,Virginia,Gymnastics,76.0,934.0
1996-97,Girls,Virginia,Golf,,1668.0
1996-97,Girls,Washington,Golf,220.0,
1996-97,Girls,Washington,Gymnastics,80.0,1487.0
1996-97,Girls,West Virginia,Golf,18.0,28.0
1996-97,Girls,Wisconsin,Golf,,925.0
1996-97,Girls,Wisconsin,Gymnastics,98.0,1471.0
1996-97,Girls,Alaska,Soccer,13.0,
1996-97,Girls,Alaska,Softball Fast Pitch,,426.0
1996-97,Girls,Alaska,Swimming and Diving,21.0,449.0
1996-97,Girls,Alaska,Softball Slow Pitch,235.0,4257.0
1996-97,Girls,Colorado,Soccer,134.0,4397.0
1996-97,Girls,Colorado,Softball Fast Pitch,119.0,3224.0
1996-97,Girls,Colorado,Swimming and Diving,111.0,3636.0
1996-97,Girls,Delaware,Soccer,35.0,916.0
1996-97,Girls,Delaware,Softball Fast Pitch,36.0,1096.0
1996-97,Girls,Delaware,Swimming and Diving,24.0,620.0
1996-97,Girls,District of Columbia,Soccer,,28.0
1996-97,Girls,District of Columbia,Softball Fast Pitch,14.0,169.0
1996-97,Girls,District of Columbia,Swimming and Diving,,58.0
1996-97,Girls,Florida,Softball Fast Pitch,456.0,
1996-97,Girls,Florida,Soccer,271.0,8383.0
1996-97,Girls,Florida,Swimming and Diving,301.0,5977.0
1996-97,Girls,Florida,Softball Slow Pitch,239.0,5887.0
1996-97,Girls,Illinois,Soccer,235.0,10544.0
1996-97,Girls,Illinois,Softball Fast Pitch,622.0,18042.0
1996-97,Girls,Illinois,Swimming and Diving,261.0,7656.0
1996-97,Girls,Kentucky,Soccer,126.0,3191.0
1996-97,Girls,Kentucky,Softball Fast Pitch,227.0,4859.0
1996-97,Girls,Kentucky,Softball Slow Pitch,28.0,531.0
1996-97,Girls,Kentucky,Swimming and Diving,90.0,1322.0
1996-97,Girls,Louisiana,Soccer,38.0,570.0
1996-97,Girls,Louisiana,Softball Fast Pitch,352.0,5280.0
1996-97,Girls,Louisiana,Swimming and Diving,36.0,360.0
1996-97,Girls,Maine,Soccer,118.0,3573.0
1996-97,Girls,Maine,Softball Fast Pitch,118.0,3048.0
1996-97,Girls,Maine,Swimming and Diving,46.0,826.0
1996-97,Girls,Massachusetts,Soccer,294.0,10515.0
1996-97,Girls,Massachusetts,Softball Fast Pitch,319.0,10114.0
1996-97,Girls,Massachusetts,Swimming and Diving,140.0,3338.0
1996-97,Girls,Minnesota,Soccer,127.0,4276.0
1996-97,Girls,Minnesota,Softball Fast Pitch,378.0,10801.0
1996-97,Girls,Minnesota,Swimming and Diving,175.0,5178.0
1996-97,Girls,Minnesota,Softball Slow Pitch,209.0,
1996-97,Girls,Missouri,Soccer,125.0,
1996-97,Girls,Missouri,Softball Fast Pitch,404.0,9531.0
1996-97,Girls,Missouri,Swimming and Diving,94.0,2658.0
1996-97,Girls,Nebraska,Soccer,47.0,
1996-97,Girls,Nebraska,Softball Fast Pitch,52.0,1285.0
1996-97,Girls,Nebraska,Swimming and Diving,42.0,968.0
1996-97,Girls,New Hampshire,Soccer,54.0,2220.0
1996-97,Girls,New Hampshire,Softball Fast Pitch,85.0,2246.0
1996-97,Girls,New Hampshire,Swimming and Diving,176.0,4009.0
1996-97,Girls,New Hampshire,Softball Slow Pitch,109.0,
1996-97,Girls,Oklahoma,Soccer,68.0,1356.0
1996-97,Girls,Oklahoma,Softball Fast Pitch,270.0,4482.0
1996-97,Girls,Oklahoma,Softball Slow Pitch,295.0,4884.0
1996-97,Girls,Oklahoma,Swimming and Diving,41.0,500.0
1996-97,Girls,Rhode Island,Soccer,,1207.0
1996-97,Girls,Rhode Island,Softball Fast Pitch,28.0,718.0
1996-97,Girls,Rhode Island,Softball Slow Pitch,20.0,
1996-97,Girls,Rhode Island,Swimming and Diving,,255.0
1996-97,Girls,South Carolina,Soccer,75.0,1997.0
1996-97,Girls,South Carolina,Softball Fast Pitch,190.0,4618.0
1996-97,Girls,South Carolina,Swimming and Diving,31.0,316.0
1996-97,Girls,Tennessee,Soccer,137.0,3404.0
1996-97,Girls,Tennessee,Softball Fast Pitch,314.0,5825.0
1996-97,Girls,Tennessee,Swimming and Diving,326.0,6207.0
1996-97,Girls,Tennessee,Softball Slow Pitch,,111.0
1996-97,Girls,West Virginia,Soccer,58.0,938.0
1996-97,Girls,West Virginia,Softball Fast Pitch,11.0,2244.0
1996-97,Girls,West Virginia,Swimming and Diving,27.0,372.0
1996-97,Girls,Alaska,Track and Field Indoor,77.0,1357.0
1996-97,Girls,Colorado,Track and Field Indoor,281.0,8484.0
1996-97,Girls,Connecticut,Tennis,102.0,2749.0
1996-97,Girls,Connecticut,Track and Field Indoor,129.0,3132.0
1996-97,Girls,Delaware,Tennis,27.0,575.0
1996-97,Girls,Delaware,Track and Field Indoor,,955.0
1996-97,Girls,Florida,Track and Field Indoor,476.0,8887.0
1996-97,Girls,Hawaii,Track and Field Indoor,55.0,1442.0
1996-97,Girls,Hawaii,Tennis,,1795.0
1996-97,Girls,Kentucky,Track and Field Indoor,84.0,1839.0
1996-97,Girls,Kentucky,Tennis,82.0,820.0
1996-97,Girls,Maine,Tennis,38.0,786.0
1996-97,Girls,Maine,Track and Field Indoor,27.0,443.0
1996-97,Girls,Massachusetts,Tennis,175.0,5328.0
1996-97,Girls,Massachusetts,Track and Field Indoor,172.0,4212.0
1996-97,Girls,Minnesota,Track and Field Indoor,426.0,14900.0
1996-97,Girls,Minnesota,Tennis,23.0,279.0
1996-97,Girls,Missouri,Track and Field Indoor,409.0,11416.0
1996-97,Girls,Nebraska,Track and Field Indoor,337.0,9480.0
1996-97,Girls,Nebraska,Tennis,36.0,
1996-97,Girls,New Mexico,Track and Field Indoor,129.0,2764.0
1996-97,Girls,New Mexico,Tennis,276.0,6834.0
1996-97,Girls,Pennsylvania,Track and Field Indoor,443.0,
1996-97,Girls,Pennsylvania,Tennis,134.0,2412.0
1996-97,Girls,Rhode Island,Tennis,29.0,967.0
1996-97,Girls,Rhode Island,Track and Field Indoor,40.0,914.0
1996-97,Girls,South Dakota,Track and Field Indoor,144.0,3825.0
1996-97,Girls,Tennessee,Track and Field Indoor,225.0,4050.0
1996-97,Girls,Vermont,Tennis,,145.0
1996-97,Girls,Vermont,Track and Field Indoor,,15.0
1996-97,Girls,Washington,Track and Field Indoor,357.0,16001.0
1996-97,Girls,West Virginia,Track and Field Indoor,125.0,2097.0
1996-97,Girls,Wisconsin,Track and Field Indoor,415.0,15952.0
1996-97,Girls,Wisconsin,Tennis,12.0,199.0
