survey_year,year,girls
1994-95,1972-73,3770621
1994-95,1973-74,4070125
1994-95,1975-76,4109021
1994-95,1977-78,4367442
1994-95,1978-79,3709512
1994-95,1979-80,3517829
1994-95,1980-81,3503124
1994-95,1981-82,3409081
1994-95,1982-83,3365558
1994-95,1983-84,3303599
1994-95,1984-85,3354284
1994-95,1985-86,3344275
1994-95,1986-87,3364082
1994-95,1987-88,3425777
1994-95,1988-89,3416844
1994-95,1989-90,3398192
1994-95,1990-91,3406355
1994-95,1991-92,3429853
1994-95,1992-93,3416389
1994-95,1993-94,3472967
1994-95,1994-95,3536359
1994-95,4994-95,4994
1995-96,1972-73,3770621
1995-96,1973-74,1973
1995-96,1975-76,4109021
1995-96,1977-78,4367442
1995-96,1978-79,1978
1995-96,1979-80,3517829
1995-96,1980-81,1980
1995-96,1981-82,3409081
1995-96,1982-83,1982
1995-96,1984-85,1984
1995-96,1985-86,3344275
1995-96,1986-87,3364082
1995-96,1987-88,3425777
1995-96,1988-89,3416844
1995-96,1989-90,3398192
1995-96,1990-94,3406355
1995-96,1991-92,3429853
1995-96,1992-93,3416389
1995-96,1993-94,3472967
1995-96,1994-95,3536359
1995-96,1995-96,1995
1996-97,1972-73,3770621
1996-97,1973-74,4070125
1996-97,1975-76,4109021
1996-97,1977-78,4367442
1996-97,1978-79,3709512
1996-97,1979-80,3517829
1996-97,1980-81,3503124
1996-97,1981-82,3409081
1996-97,1982-83,3355558
1996-97,1983-84,3303599
1996-97,1984-85,3354284
1996-97,1985-86,3344275
1996-97,1986-87,3364082
1996-97,1987-88,3425777
1996-97,1988-89,3416844
1996-97,1989-90,3398192
1996-97,1990-91,3406355
1996-97,1991-92,1991
1996-97,1992-93,1992
1996-97,1993-94,1993
1996-97,1994-95,3536359
1996-97,1995-96,3634052
1996-97,1996-97,1996
1997-98,1972-73,1972
1997-98,1973-74,1973
1997-98,1975-76,1975
1997-98,1977-78,1977
1997-98,1978-79,1978
1997-98,1979-80,1979
1997-98,1980-81,1980
1997-98,1981-82,1981
1997-98,1982-83,1982
1997-98,1983-84,1983
1997-98,1984-85,1984
1997-98,1985-86,1985
1997-98,1986-87,1986
1997-98,1987-88,1987
1997-98,1988-89,1988
1997-98,1989-90,1989
1997-98,1990-91,1990
1997-98,1991-92,1991
1997-98,1992-93,1992
1997-98,1993-94,1993
1997-98,1994-95,1994
1997-98,1996-97,1996
1997-98,1997-98,1997
1997-98,4985-86,4985
1997-98,4991-92,4991
1997-98,4995-96,4995
1997-98,4997-98,4997
1998-99,1972-73,3770621
1998-99,1973-74,4070125
1998-99,1975-76,1975
1998-99,1979-80,3517829
1998-99,1980-81,3503
1998-99,1981-82,3409081
1998-99,1982-83,3355558
1998-99,1983-84,3303599
1998-99,1984-85,3354284
1998-99,1985-86,1985
1998-99,1986-87,3364082
1998-99,1988-89,3416844
1998-99,1989-90,3398192
1998-99,1991-92,3429853
1998-99,1992-93,3416389
1998-99,1993-94,3472967
1998-99,1994-95,3536359
1998-99,1995-96,3634052
1998-99,1996-97,3706225
1998-99,1997-98,3763120
1998-99,1998-99,1998
1999-00,1972-73,3770621
1999-00,1973-74,4070125
1999-00,1975-76,4109021
1999-00,1977-78,4367442
1999-00,1978-79,3709512
1999-00,1979-80,3517829
1999-00,1980-81,3503124
1999-00,1981-82,3409081
1999-00,1983-84,3303599
1999-00,1984-85,3354284
1999-00,1985-86,3344275
1999-00,1986-87,3364082
1999-00,1987-88,3425777
1999-00,1988-89,3416844
1999-00,1989-90,3398192
1999-00,1991-92,3429853
1999-00,1992-93,3416389
1999-00,1993-94,3472967
1999-00,1994-95,3536359
1999-00,1995-96,3634052
1999-00,1996-97,3706225
1999-00,1997-98,3763120
1999-00,1998-99,3832352
1999-00,4982-83,3355558
1999-00,4990-91,3406355
2001-02,1972-73,3770621
2001-02,1973-74,4070125
2001-02,1975-76,4109021
2001-02,1977-78,4367442
2001-02,1978-79,3709512
2001-02,1979-80,3517829
2001-02,1980-81,3503124
2001-02,1981-82,3409081
2001-02,1982-83,8355558
2001-02,1983-84,3303599
2001-02,1984-85,3354284
2001-02,1986-87,3364082
2001-02,1987-88,8425777
2001-02,1988-89,3416844
2001-02,1989-90,3398192
2001-02,1990-91,3406355
2001-02,1991-92,3429853
2001-02,1992-93,3416389
2001-02,1993-94,3472967
2001-02,1994-95,3536359
2001-02,1995-96,3634052
2001-02,1996-97,3706225
2001-02,1997-98,3763120
2001-02,1998-99,3832352
2001-02,1999-00,3861749
2001-02,2000-01,3921069
2001-02,2001-02,2001
2001-02,4985-86,3344275
2002-03,1971-72,3666917
2002-03,1972-73,3770621
2002-03,1973-74,4070125
2002-03,1975-76,4109021
2002-03,1977-78,4367442
2002-03,1978-79,3709512
2002-03,1979-80,3517829
2002-03,1980-81,3503124
2002-03,1981-82,3409081
2002-03,1982-83,3355558
2002-03,1983-84,3303599
2002-03,1984-85,3354284
2002-03,1985-86,3344275
2002-03,1986-87,3364082
2002-03,1987-88,8425777
2002-03,1988-89,3416844
2002-03,1989-90,3398192
2002-03,1990-91,3406355
2002-03,1991-92,3429853
2002-03,1992-93,8416389
2002-03,1993-94,3472967
2002-03,1994-95,3536359
2002-03,1995-96,3634052
2002-03,1996-97,3706225
2002-03,1997-98,3763120
2002-03,1998-99,3832352
2002-03,1999-00,3861749
2002-03,2000-01,3921069
2002-03,2001-02,8960517
2002-03,2002-03,2002
