market,Walmart,Target
1,64.24,0.77
2,9.35,
3,959.82,
4,1053.55,0.28
5,201.13,377.54
6,680.06,
7,613.28,
8,433.62,
9,24.44,
10,0.79,77.61
11,0.0,
12,0.34,28.58
13,,602.26
14,0.15,
15,0.07,0.22
16,481.79,304.02
17,1.33,
18,1354.91,35.67
19,24.32,0.01
20,2018.24,
21,54.03,8.27
22,448.3,
23,948.19,20.41
25,1.06,
26,,14.23
27,1.9,0.2
28,0.26,0.05
30,0.09,
31,24.45,
33,2.17,1130.43
34,0.09,
35,7.49,
36,87.84,
37,585.07,0.06
38,1.69,1.12
39,218.81,
40,205.62,922.14
41,28.92,
43,0.72,
44,755.6,0.02
45,,14.28
46,55.48,
48,8.52,576.08
49,27.05,
51,463.16,146.86
52,,16.03
53,0.01,
54,3.4,
55,800.41,
56,7.93,
58,0.83,
59,72.28,80.34
60,1154.47,9.79
61,2225.06,
63,0.04,2.35
65,0.15,168.69
67,782.85,
68,,1240.94
69,1618.49,
70,159.95,0.92
71,10.23,1.81
72,309.82,678.38
73,767.52,
74,639.21,72.24
76,,0.11
77,1555.92,0.0
78,3.23,
79,,383.74
80,4.12,77.21
81,737.84,
82,0.92,
83,0.01,456.92
84,772.47,
85,10.26,152.12
86,1157.33,0.11
87,0.02,
88,4.42,
91,0.19,
92,0.87,
93,0.06,
94,1566.09,121.62
96,,2.89
97,423.42,12.68
98,0.02,
99,6.13,78.41
100,,4.78
101,76.0,1.93
102,0.0,509.64
103,556.15,
104,0.0,435.47
105,0.34,
106,0.71,
107,30.71,
108,0.08,22.57
109,,456.66
110,7.06,265.46
111,0.06,
112,0.41,
113,333.58,
114,0.01,342.86
116,,66.86
117,3.37,0.14
118,26.25,178.77
119,631.52,67.16
120,,0.66
121,39.76,128.53
122,49.48,0.14
123,923.14,4.9
124,0.91,
125,122.98,
126,9.08,
127,1.11,
128,0.12,0.18
129,0.03,859.54
130,207.37,74.26
131,1682.86,564.44
132,40.61,
133,0.89,
134,329.98,0.37
135,1922.98,
136,1015.69,
137,1369.34,4.35
138,988.38,0.43
139,214.69,
140,0.03,1.52
141,179.45,
143,692.63,
144,42.95,3.55
145,729.05,
146,0.01,5.3
147,5.83,281.96
148,0.2,
149,235.37,
150,219.87,
151,872.61,89.14
152,93.85,0.96
154,240.77,249.02
155,6.43,
156,,5.65
157,798.78,
158,1.92,
159,0.3,506.86
160,1385.83,1.43
161,832.79,0.01
162,0.18,
163,274.81,
164,851.98,
165,2220.87,
166,366.26,
167,449.62,
168,11.54,18.93
169,549.96,
170,0.08,418.64
172,6.35,
173,140.12,
174,811.64,
175,425.56,0.03
176,443.89,
177,1093.97,
178,1027.84,
179,15.07,0.08
180,0.24,
182,,1486.5
183,276.26,1056.75
184,21.01,
185,576.22,69.2
186,796.18,
187,358.01,
189,0.01,1.8
191,2071.0,
192,,1.42
193,0.02,
194,0.13,1.06
195,656.32,24.89
197,0.68,
198,919.19,0.01
199,610.24,
200,13.54,181.33
201,182.89,
203,0.27,
204,844.56,
205,0.12,147.22
206,2106.17,0.05
207,1396.13,0.24
208,210.3,248.18
209,0.55,2.16
210,4.42,
211,0.13,70.05
212,,287.01
213,416.18,
214,1559.28,
215,,1.33
216,1.04,1215.04
217,746.13,
219,2.98,
220,1114.97,
221,14.83,1.99
222,31.44,0.67
223,,188.67
224,485.93,
225,,0.38
226,0.99,49.43
227,36.6,
228,366.99,2.16
229,0.02,
230,0.37,
231,1.84,
232,280.35,
233,601.55,0.25
234,,525.97
235,0.01,17.3
236,3.18,
237,,0.06
238,,345.92
239,336.55,
242,0.01,2.5
243,2.47,
244,659.57,0.04
245,132.57,791.5
246,0.52,7.48
247,0.05,6.37
248,0.0,15.19
249,1514.88,405.43
250,1.29,774.17
252,32.14,
253,47.4,
255,55.4,
258,0.75,
259,35.24,0.54
260,24.02,0.07
261,0.11,5.33
262,1018.58,
263,1524.55,
264,2.42,0.17
265,0.06,118.71
266,187.71,1084.13
267,2.48,
268,5.7,
270,381.08,
272,,13.14
273,,2.14
274,723.66,
275,1.34,
276,0.44,2.09
278,495.53,0.04
279,0.59,0.92
280,0.73,
281,0.01,
282,0.07,81.74
283,,2.37
284,276.98,498.22
285,0.16,
286,0.07,
287,42.39,1309.41
289,5.22,
290,0.28,
291,459.86,
292,0.68,3.81
293,46.04,
294,0.18,490.87
295,289.15,
296,59.53,10.26
297,491.16,584.22
298,0.21,
299,1.11,
