market,x1,x2,share1,share2,p1,p2,mc1,mc2,zone,inc_mu,inc_sig,active1,active2,micro11,micro12,micro21,micro22
1,1.30968,-1.061937,.0237751,.0003441,2.825035,2.460344,.1232304,.2331374,30,.6518715,1,1,1,12.0892,9.69542,3.016548,3.037952
2,-.0208164,0,.0031364,0,3.04175,0,.0594141,0,20,1.420432,1,1,0,12.0892,9.69542,3.016548,3.037952
3,2.607496,0,.6773186,0,2.040111,0,.6230252,0,29,2.73652,1,1,0,12.0892,9.69542,3.016548,3.037952
4,4.820977,-.445233,.5959616,.0002407,2.007477,1.456939,.2396621,.283836,28,-1.392104,1,1,1,12.0892,9.69542,3.016548,3.037952
5,2.618154,1.242402,.1514468,.4239753,1.541668,1.505718,.2136131,.6152407,10,-.4351293,1,1,1,12.0892,9.69542,3.016548,3.037952
6,4.149778,0,.5821875,0,1.440482,0,.2723665,0,45,-2.453088,1,1,0,12.0892,9.69542,3.016548,3.037952
7,3.176763,0,.4812317,0,2.129302,0,.8549012,0,16,1.805038,1,1,0,12.0892,9.69542,3.016548,3.037952
8,2.401114,0,.4700278,0,1.208332,0,.2857859,0,55,-1.939561,1,1,0,12.0892,9.69542,3.016548,3.037952
9,.547608,0,.018711,0,1.664243,0,.3579144,0,24,-1.812224,1,1,0,12.0892,9.69542,3.016548,3.037952
10,.2776733,-.4996623,.0003043,.1374909,3.142282,1.199866,.5323015,.6354085,54,-1.920318,1,1,1,12.0892,9.69542,3.016548,3.037952
11,-4.035387,0,1.78e-06,0,3.144795,0,.451163,0,49,-2.002778,1,1,0,12.0892,9.69542,3.016548,3.037952
12,-3.551211,.9035115,.0007613,.0522657,.9934634,1.433391,.5415742,.8866115,22,-.0149599,1,1,1,12.0892,9.69542,3.016548,3.037952
13,0,2.42163,0,.5441554,0,1.599249,0,.4924622,52,-.9582495,1,0,1,12.0892,9.69542,3.016548,3.037952
14,-3.402358,0,.0001171,0,2.007477,0,.7374834,0,28,-2.30821,1,1,0,12.0892,9.69542,3.016548,3.037952
15,-4.332936,-3.521127,.0000465,.0002579,1.561964,1.385112,.0490311,.5444077,39,-1.471169,1,1,1,12.0892,9.69542,3.016548,3.037952
16,4.315891,3.963586,.3282048,.3791245,1.543918,1.757742,.0759676,.9558313,33,-2.299924,1,1,1,12.0892,9.69542,3.016548,3.037952
17,-3.158537,0,.0006196,0,2.175318,0,.0271243,0,6,.9876669,1,1,0,12.0892,9.69542,3.016548,3.037952
18,4.287055,1.015306,.7299593,.0591815,2.689761,.8529257,.8336107,.2501741,58,1.088422,1,1,1,12.0892,9.69542,3.016548,3.037952
19,-.146616,-4.76771,.0171281,.0000103,1.880693,1.487718,.4605848,.7099733,31,1.010653,1,1,1,12.0892,9.69542,3.016548,3.037952
20,4.739708,0,.8088729,0,2.506603,0,.0114818,0,27,2.167686,1,1,0,12.0892,9.69542,3.016548,3.037952
21,-.1694225,.7607014,.0339653,.0176009,1.941485,1.407789,.350742,.9376613,5,-1.008693,1,1,1,12.0892,9.69542,3.016548,3.037952
22,3.34562,0,.4470118,0,1.761158,0,.7582726,0,37,1.286928,1,1,0,12.0892,9.69542,3.016548,3.037952
23,3.416773,-.9833199,.6314241,.0180859,1.853332,1.395871,.3516572,.2672451,36,.766179,1,1,1,12.0892,9.69542,3.016548,3.037952
24,0,0,0,0,0,0,0,0,12,2.997753,1,0,0,12.0892,9.69542,3.016548,3.037952
25,-2.646527,0,.0004818,0,3.142282,0,.9434121,0,54,.9767939,1,1,0,12.0892,9.69542,3.016548,3.037952
26,0,.0359313,0,.0213721,0,1.268405,0,.6023836,19,-1.067301,1,0,1,12.0892,9.69542,3.016548,3.037952
27,-2.55948,-3.234962,.0015321,.0002842,1.853332,1.395871,.616281,.6892086,36,2.240145,1,1,1,12.0892,9.69542,3.016548,3.037952
28,-3.224863,-4.382112,.0002241,.0000429,1.813945,1.599249,.6564527,.535659,52,1.724149,1,1,1,12.0892,9.69542,3.016548,3.037952
