market,zone,inc_mu,inc_sig,firm,x,share,p,mc,active,micro1,micro2
1,30,.6518715,1,1,1.30968,.0237751,2.825035,.1232304,1,12.0892,3.016548
1,30,.6518715,1,2,-1.061937,.0003441,2.460344,.2331374,1,9.69542,3.037952
2,20,1.420432,1,1,-.0208164,.0031364,3.04175,.0594141,1,12.0892,3.016548
2,20,1.420432,1,2,0,0,0,0,0,9.69542,3.037952
3,29,2.73652,1,1,2.607496,.6773186,2.040111,.6230252,1,12.0892,3.016548
3,29,2.73652,1,2,0,0,0,0,0,9.69542,3.037952
4,28,-1.392104,1,1,4.820977,.5959616,2.007477,.2396621,1,12.0892,3.016548
4,28,-1.392104,1,2,-.445233,.0002407,1.456939,.283836,1,9.69542,3.037952
5,10,-.4351293,1,1,2.618154,.1514468,1.541668,.2136131,1,12.0892,3.016548
5,10,-.4351293,1,2,1.242402,.4239753,1.505718,.6152407,1,9.69542,3.037952
6,45,-2.453088,1,1,4.149778,.5821875,1.440482,.2723665,1,12.0892,3.016548
6,45,-2.453088,1,2,0,0,0,0,0,9.69542,3.037952
7,16,1.805038,1,1,3.176763,.4812317,2.129302,.8549012,1,12.0892,3.016548
7,16,1.805038,1,2,0,0,0,0,0,9.69542,3.037952
8,55,-1.939561,1,1,2.401114,.4700278,1.208332,.2857859,1,12.0892,3.016548
8,55,-1.939561,1,2,0,0,0,0,0,9.69542,3.037952
9,24,-1.812224,1,1,.547608,.018711,1.664243,.3579144,1,12.0892,3.016548
9,24,-1.812224,1,2,0,0,0,0,0,9.69542,3.037952
10,54,-1.920318,1,1,.2776733,.0003043,3.142282,.5323015,1,12.0892,3.016548
10,54,-1.920318,1,2,-.4996623,.1374909,1.199866,.6354085,1,9.69542,3.037952
11,49,-2.002778,1,1,-4.035387,1.78e-06,3.144795,.451163,1,12.0892,3.016548
11,49,-2.002778,1,2,0,0,0,0,0,9.69542,3.037952
12,22,-.0149599,1,1,-3.551211,.0007613,.9934634,.5415742,1,12.0892,3.016548
12,22,-.0149599,1,2,.9035115,.0522657,1.433391,.8866115,1,9.69542,3.037952
13,52,-.9582495,1,1,0,0,0,0,0,12.0892,3.016548
13,52,-.9582495,1,2,2.42163,.5441554,1.599249,.4924622,1,9.69542,3.037952
14,28,-2.30821,1,1,-3.402358,.0001171,2.007477,.7374834,1,12.0892,3.016548
14,28,-2.30821,1,2,0,0,0,0,0,9.69542,3.037952
15,39,-1.471169,1,1,-4.332936,.0000465,1.561964,.0490311,1,12.0892,3.016548
15,39,-1.471169,1,2,-3.521127,.0002579,1.385112,.5444077,1,9.69542,3.037952
16,33,-2.299924,1,1,4.315891,.3282048,1.543918,.0759676,1,12.0892,3.016548
16,33,-2.299924,1,2,3.963586,.3791245,1.757742,.9558313,1,9.69542,3.037952
17,6,.9876669,1,1,-3.158537,.0006196,2.175318,.0271243,1,12.0892,3.016548
17,6,.9876669,1,2,0,0,0,0,0,9.69542,3.037952
18,58,1.088422,1,1,4.287055,.7299593,2.689761,.8336107,1,12.0892,3.016548
18,58,1.088422,1,2,1.015306,.0591815,.8529257,.2501741,1,9.69542,3.037952
19,31,1.010653,1,1,-.146616,.0171281,1.880693,.4605848,1,12.0892,3.016548
19,31,1.010653,1,2,-4.76771,.0000103,1.487718,.7099733,1,9.69542,3.037952
20,27,2.167686,1,1,4.739708,.8088729,2.506603,.0114818,1,12.0892,3.016548
20,27,2.167686,1,2,0,0,0,0,0,9.69542,3.037952
21,5,-1.008693,1,1,-.1694225,.0339653,1.941485,.350742,1,12.0892,3.016548
21,5,-1.008693,1,2,.7607014,.0176009,1.407789,.9376613,1,9.69542,3.037952
22,37,1.286928,1,1,3.34562,.4470118,1.761158,.7582726,1,12.0892,3.016548
22,37,1.286928,1,2,0,0,0,0,0,9.69542,3.037952
23,36,.766179,1,1,3.416773,.6314241,1.853332,.3516572,1,12.0892,3.016548
