swapid,obs_rev,obs_lab,obs_land,obs_dist,obs_pop,pert_rev,pert_lab,pert_land,pert_dist,pert_pop,delta_rev,delta_lab,delta_land,delta_dist,delta_pop,y_tilde,x_d,x_p,tax_rate_pert
1,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,417162854522.9222,7060973500.849296,991492392.7263564,20338449.43918886,187665.9199180623,-2935471.745361328,-14786043.399143219,-7208041.777700782,-4547819.761812955,-7379.00128334199,21553764.4150398,-4547819.761812955,-7379.00128334199,0.010853036387758223
2,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,417159919051.1768,7038796746.062361,983046254.6980227,15866213.086703813,182540.55431968393,0.0,7390711.387791634,1238096.2506328821,-75583.40932790749,-2253.6356849636068,-8628807.638424516,-75583.40932790749,-2253.6356849636068,0.010437739146191486
3,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,417159919051.1768,7050390588.034721,985303072.8475705,15781949.112105947,181518.7105389307,0.0,-4203130.584568977,-1018721.8989149332,8680.565269958228,-1231.791904210375,5221852.483483911,8680.565269958228,-1231.791904210375,0.010437739146191486
4,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,417159919051.1768,7053258919.305055,984939650.1994771,15781949.112105947,181518.7105389307,0.0,-7071461.854902267,-655299.2508214712,8680.565269958228,-1231.791904210375,7726761.105723739,8680.565269958228,-1231.791904210375,0.010437739146191486
5,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,417144339819.6653,7048342561.586434,985163919.4422889,15771075.945762409,177972.94800746875,15579231.511535645,-2155104.136281967,-879568.4936332703,19553.73161349632,2313.970627251576,5371557.356645584,19553.73161349632,2313.970627251576,0.009658098997656302
6,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,417159919051.1768,7047130411.056759,984284350.9486556,15788287.195812346,182484.9643760128,0.0,-942953.6066064835,0.0,2342.481563558802,-2198.0457412924734,942953.6066064835,2342.481563558802,-2198.0457412924734,0.010437739146191486
7,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,416929476389.24347,7045823505.507779,983987307.1003656,15797680.80962926,182794.69941697802,230442661.9333496,363951.94237327576,297043.8482899666,-7051.132253354415,-2507.7807822577015,33905403.4993392,-7051.132253354415,-2507.7807822577015,0.009902653917263912
8,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,417221742410.762,7048535365.229817,983732379.5499223,15773494.104668854,182845.710300668,-61823359.58520508,-2347907.7796649933,551971.3987332582,17135.57270705141,-2558.791665947676,-7477567.556849027,17135.57270705141,-2558.791665947676,0.010557313567446125
9,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,417137952981.7698,7050440933.253534,984105667.69131,15776863.950542675,182024.9913302999,21966069.407043457,-4253475.80338192,178683.2573455572,13765.726833229885,-1738.0726955795835,7369702.957092881,13765.726833229885,-1738.0726955795835,0.0103425677141608
10,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,417039821920.0494,7082417495.237221,983753405.6934634,15709132.665720904,179986.7940531511,120097131.1274414,-36230037.78706837,530945.2551921606,81497.01165500097,300.12458156922366,53713662.20099242,81497.01165500097,300.12458156922366,0.010030363232904141
11,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,417141106096.5896,7051771244.440174,984780415.5336599,15710637.379237175,180219.17226824543,18812954.58721924,-5583786.990021706,-496064.5850043297,79992.29813873023,67.74636647489388,8901794.76310892,79992.29813873023,67.74636647489388,0.010258783775181312
12,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,417141106096.5896,7052690677.383392,984415187.2710056,15722902.715351589,180393.65177049523,18812954.58721924,-6503219.933239937,-130836.32235002518,67726.96202431619,-106.73313577490626,9455999.443672847,67726.96202431619,-106.73313577490626,0.010258783775181312
13,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,417141106096.5896,7046880706.54746,985137012.2266428,15717118.742705101,180396.68068246302,18812954.58721924,-693249.0973072052,-852661.2779872417,73510.93467080407,-109.76204774269718,4367853.563377332,73510.93467080407,-109.76204774269718,0.010258783775181312
14,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,417141106096.5896,7045885196.242611,985683346.9156737,15722952.086591167,180049.83696303054,18812954.58721924,302261.20754146576,-1398995.9670181274,67677.59078473784,237.08167168978252,3918677.947559547,67677.59078473784,237.08167168978252,0.010258783775181312
15,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,416937041857.3036,7053069396.40376,981706908.4371104,15724656.533905424,181649.08481905283,222877193.87322998,-6881938.953607559,2577442.5115451813,65973.14347048104,-1362.1661843325128,37736075.52304687,65973.14347048104,-1362.1661843325128,0.009730217993874184
16,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,416965544252.9409,7047671151.493749,981200370.969996,15785642.726426182,187336.26131240165,194374798.23590088,-1483694.0435962677,3083979.97865963,4986.950949722901,-7049.3426776813285,27555933.80032177,4986.950949722901,-7049.3426776813285,0.009734574908953639
17,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,416857669372.19293,7045664913.61035,982719640.2370679,15597249.511609433,185144.12088687695,302249678.9838867,522543.839802742,1564710.7115876675,193380.165766472,-4857.202252156625,43250197.296192594,193380.165766472,-4857.202252156625,0.009524885626946769
18,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,416951165023.2747,7049752641.4780245,981298213.8459098,15758173.721845401,191031.76022371047,208754027.9020996,-3565184.0278720856,2986137.1027457714,32455.955530503765,-10744.841588990152,31892151.110441253,32455.955530503765,-10744.841588990152,0.009821282826032039
19,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,417298028711.018,7061916576.464603,984880340.6118139,15303413.79420285,181210.6070190731,-138109659.84118652,-15729119.014451027,-595989.6631582975,487215.88317305595,-923.6883843527758,-4391340.298568655,487215.88317305595,-923.6883843527758,0.010386119035738975
20,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,417027174929.1949,7044728393.945307,981106079.6043123,15700822.160522485,184127.86294033943,132744121.9819336,1459063.5048456192,3178271.3443433046,89807.51685342006,-3840.9443056191085,15274283.448101114,89807.51685342006,-3840.9443056191085,0.009737215432919033
21,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,417140972493.0826,6974208749.943812,971623581.7890115,15793651.97229306,178334.87592525498,18946558.09423828,71978707.50634003,12660769.159644127,-3022.294917155057,1952.0427094653423,-81797492.95184842,-3022.294917155057,1952.0427094653423,0.010349108797339785
22,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,417159919051.1768,7016597359.850513,974682265.0185786,15797604.408758653,179214.25497242084,0.0,29590097.59963894,9602085.930076957,-6974.731382748112,1072.6636622994847,-39192183.529715896,-6974.731382748112,1072.6636622994847,0.010437739146191486
23,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,417141128527.8507,7046699016.220752,984006672.0346644,15721593.391482279,180285.22017204878,18790523.32611084,-511558.77059936523,277678.91399121284,69036.28589362651,1.6984626715420745,3052458.3555247784,69036.28589362651,1.6984626715420745,0.010298721115085348
24,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,416954466329.1839,7059184646.670267,983432034.0865326,15460377.420544868,180049.17549299955,205452721.99291992,-12997189.220114708,852316.8621230125,330252.2568310369,237.74314172076993,42962780.65692969,330252.2568310369,237.74314172076993,0.009473216636133661
25,417159919051.1768,7046187457.450152,984284350.9486556,15790629.677375905,180286.91863472032,417024884356.7802,7041589788.706156,983512588.936015,15799880.29343049,180841.12961820234,135034694.39660645,4597668.74399662,771762.0126405954,-9250.616054585204,-554.2109834820149,14885773.40285375,-9250.616054585204,-554.2109834820149,0.010128929704465238
