year	county	mode	nb_hh	avg_spending_annual_county	tax_rate	alpha	pop_density	rent	wage	min_dist0	presence_state0	tot_empl0	tot_size0	presence_county0
1999	1001	3	16003	7638.225	.0675	-6.697828	74.05457	2.838649	13601.53763	340.6355	0	0	0	0
1999	1001	1	16003	7638.225	.0675	-8.776512	74.05457	2.838649	13601.53763	340.6355	0	0	0	0
1999	1001	2	16003	7638.225	.0675	-6.616252	74.05457	2.838649	13601.53763	340.6355	0	0	0	0
2000	1001	3	16003	6972.268	.0675	-5.683049	74.05457	2.929559	14014.26433	340.6355	0	0	0	0
2000	1001	2	16003	6972.268	.0675	-5.598649	74.05457	2.929559	14014.26433	340.6355	0	0	0	0
2000	1001	1	16003	6972.268	.0675	-7.837944	74.05457	2.929559	14014.26433	340.6355	0	0	0	0
2001	1001	3	17830	5145.257	.0675	-5.273913	75.51477	2.983155	14250.32561	340.6355	0	0	0	0
2001	1001	1	17830	5145.257	.0675	-7.469936	75.51477	2.983155	14250.32561	340.6355	0	0	0	0
2001	1001	2	17830	5145.257	.0675	-5.186574	75.51477	2.983155	14250.32561	340.6355	0	0	0	0
2002	1001	2	17883	6358.871	.0675	-4.590533	77.23067	2.964523	14653.88798	340.6355	0	0	0	0
2002	1001	1	17883	6358.871	.0675	-6.893754	77.23067	2.964523	14653.88798	340.6355	0	0	0	0
2002	1001	3	17883	6358.871	.0675	-4.680684	77.23067	2.964523	14653.88798	340.6355	0	0	0	0
2003	1001	2	18044	6699.532	.0675	-4.093772	78.72956	2.966536	15285.10341	340.6355	0	0	0	0
2003	1001	1	18044	6699.532	.0675	-6.412383	78.72956	2.966536	15285.10341	340.6355	0	0	0	0
2003	1001	3	18044	6699.532	.0675	-4.183296	78.72956	2.966536	15285.10341	340.6355	0	0	0	0
2004	1001	2	18002	5749.943	.0675	-3.643351	81.36398	2.985278	15801.82652	340.6355	0	0	0	0
2004	1001	1	18002	5749.943	.0675	-5.985443	81.36398	2.985278	15801.82652	340.6355	0	0	0	0
2004	1001	3	18002	5749.943	.0675	-3.732144	81.36398	2.985278	15801.82652	340.6355	0	0	0	0
2005	1001	2	18060	8877.26	.0675	-3.317707	83.56773	3.007108	16535.76762	340.6355	0	0	0	0
2005	1001	1	18060	8877.26	.0675	-5.654822	83.56773	3.007108	16535.76762	340.6355	0	0	0	0
2005	1001	3	18060	8877.26	.0675	-3.405386	83.56773	3.007108	16535.76762	340.6355	0	0	0	0
2006	1001	2	18926	6973.857	.0675	-2.83274	86.34682	3.101066	17787.05164	340.6355	0	0	0	0
2006	1001	3	18926	6973.857	.0675	-2.925604	86.34682	3.101066	17787.05164	340.6355	0	0	0	0
