gamma,omega,M_m1,M_m2,M_m3,M_m4,Q
-500.0,-100000.0,16551675.058712123,-62451260.03412503,140216807.87048987,-134154498.70278133,2.189758940204446e+16
-500.0,-99000.0,16601489.446160473,-62458519.637593634,138143954.48958802,-132957969.79164083,2.1578888406434544e+16
-500.0,-98000.0,16651303.833608821,-62465779.24106224,136071101.1086862,-131761440.88050035,2.126305087909871e+16
-500.0,-97000.0,16701118.22105717,-62473038.84453084,133998247.72778437,-130564911.96935984,2.0950076820036944e+16
-500.0,-96000.0,16750932.608505517,-62480298.44799945,131925394.34688255,-129368383.05821936,2.063996622924926e+16
-500.0,-95000.0,16800746.995953865,-62487558.05146805,129852540.96598071,-128171854.14707886,2.033271910673565e+16
-500.0,-94000.0,16850561.383402217,-62494817.654936664,127779687.58507887,-126975325.23593836,2.0028335452496108e+16
-500.0,-93000.0,16900375.770850565,-62502077.25840527,125706834.20417705,-125778796.32479787,1.972681526653065e+16
-500.0,-92000.0,16950190.158298913,-62509336.86187387,123633980.82327521,-124582267.41365737,1.9428158548839256e+16
-500.0,-91000.0,17000004.545747265,-62516596.46534248,121561127.4423734,-123385738.50251688,1.9132365299421948e+16
-500.0,-90000.0,17049818.933195613,-62523856.06881108,119488274.06147155,-122189209.59137638,1.883943551827871e+16
-500.0,-89000.0,17099633.32064396,-62531115.672279686,117415420.68056974,-120992680.68023589,1.854936920540955e+16
-500.0,-88000.0,17149447.70809231,-62538375.27574829,115342567.2996679,-119796151.76909539,1.826216636081446e+16
-500.0,-87000.0,17199262.095540658,-62545634.879216895,113269713.91876608,-118599622.8579549,1.7977826984493452e+16
-500.0,-86000.0,17249076.482989006,-62552894.4826855,111196860.53786424,-117403093.9468144,1.7696351076446514e+16
-500.0,-85000.0,17298890.870437358,-62560154.0861541,109124007.15696242,-116206565.03567392,1.7417738636673656e+16
-500.0,-84000.0,17348705.257885706,-62567413.68962271,107051153.77606058,-115010036.12453341,1.7141989665174868e+16
-500.0,-83000.0,17398519.645334054,-62574673.29309131,104978300.39515877,-113813507.21339291,1.6869104161950156e+16
-500.0,-82000.0,17448334.032782406,-62581932.89655992,102905447.01425692,-112616978.30225243,1.6599082126999522e+16
-500.0,-81000.0,17498148.420230754,-62589192.50002852,100832593.63335508,-111420449.39111193,1.633192356032296e+16
