year	county	min_dist1	presence_state1	tot_empl1	tot_size1	swapid	presence_county1
1999	1001	785.8977	0	0	0	1	0
2000	1001	785.8977	0	0	0	1	0
2001	1001	785.8977	0	0	0	1	0
2002	1001	785.8977	0	0	0	1	0
2003	1001	709.2601	0	0	0	1	0
2004	1001	709.2601	0	0	0	1	0
2005	1001	709.2601	0	0	0	1	0
2006	1001	458.4032	0	0	0	1	0
2007	1001	458.4032	0	0	0	1	0
2008	1001	458.4032	0	0	0	1	0
2009	1001	458.4032	0	0	0	1	0
1999	1003	930.2264	0	0	0	1	0
2000	1003	930.2264	0	0	0	1	0
2001	1003	930.2264	0	0	0	1	0
2002	1003	930.2264	0	0	0	1	0
2003	1003	857.2576	0	0	0	1	0
2004	1003	857.2576	0	0	0	1	0
2005	1003	857.2576	0	0	0	1	0
2006	1003	604.5311	0	0	0	1	0
2007	1003	604.5311	0	0	0	1	0
2008	1003	604.5311	0	0	0	1	0
2009	1003	604.5311	0	0	0	1	0
1999	1005	767.8409	0	0	0	1	0
2000	1005	767.8409	0	0	0	1	0
2001	1005	767.8409	0	0	0	1	0
2002	1005	767.8409	0	0	0	1	0
2003	1005	700.4333	0	0	0	1	0
2004	1005	700.4333	0	0	0	1	0
2005	1005	700.4333	0	0	0	1	0
2006	1005	492.7571	0	0	0	1	0
2007	1005	492.7571	0	0	0	1	0
2008	1005	492.7571	0	0	0	1	0
2009	1005	492.7571	0	0	0	1	0
1999	1007	790.1243	0	0	0	1	0
2000	1007	790.1243	0	0	0	1	0
2001	1007	790.1243	0	0	0	1	0
2002	1007	790.1243	0	0	0	1	0
2003	1007	708.3333	0	0	0	1	0
2004	1007	708.3333	0	0	0	1	0
2005	1007	708.3333	0	0	0	1	0
2006	1007	433.5842	0	0	0	1	0
2007	1007	433.5842	0	0	0	1	0
2008	1007	433.5842	0	0	0	1	0
2009	1007	433.5842	0	0	0	1	0
1999	1009	723.2088	0	0	0	1	0
2000	1009	723.2088	0	0	0	1	0
2001	1009	723.2088	0	0	0	1	0
2002	1009	723.2088	0	0	0	1	0
2003	1009	638.5285	0	0	0	1	0
2004	1009	638.5285	0	0	0	1	0
2005	1009	638.5285	0	0	0	1	0
2006	1009	360.4566	0	0	0	1	0
2007	1009	360.4566	0	0	0	1	0
2008	1009	360.4566	0	0	0	1	0
2009	1009	360.4566	0	0	0	1	0
1999	1011	771.5612	0	0	0	1	0
2000	1011	771.5612	0	0	0	1	0
2001	1011	771.5612	0	0	0	1	0
2002	1011	771.5612	0	0	0	1	0
2003	1011	700.7578	0	0	0	1	0
2004	1011	700.7578	0	0	0	1	0
2005	1011	700.7578	0	0	0	1	0
2006	1011	477.8775	0	0	0	1	0
